ResourceID,Generating_Unit_Name/Description,Net_Dependable_Capacity_(MW),Unit_Type,Nameplate_Capacity_(MW)
DUANE7STG3,DONALD VON RAESFELD STG3 UNIT,53.6,STEAM,53.6
DOUBLC1UNITS,DOUBLE C LIMITED,52.23,COMBUSTION TURBINE,48.08
DREWS6PL1X4,DREWS (AGGREGATE),41.4,COMBUSTION TURBINE,43
DREWS6GEN1,Drews Unit 1,10.8,COMBUSTION TURBINE,10.75
DREWS6GEN2,Drews Unit 2,10.8,COMBUSTION TURBINE,10.75
DREWS6GEN3,Drews Unit 3,10.8,COMBUSTION TURBINE,10.75
DREWS6GEN4,Drews Unit 4,10.8,COMBUSTION TURBINE,10.75
DRUM7PL1X2,DRUM PH 1 UNIT 1 & 2 (AGGREGATE),26,HYDRO,26
DRUM7UNIT1,Drum PH 1 Unit 1,13,HYDRO,13
DRUM7UNIT2,Drum PH 1 Unit 2,13,HYDRO,13
DRUM7PL3X4,DRUM PH 1 UNIT 3 & 4 (AGGREGATE),28.9,HYDRO,28.9
DRUM7UNIT3,Drum PH 1 Unit 3,12.9,HYDRO,12.9
DRUM7UNIT4,Drum PH 1 Unit 4,16,HYDRO,16
ETIWND2SOLAR1,Dedeaux Ontario,1,PHOTO VOLTAIC,1
BREGGO6DEGRSL,Desert Green Solar Farm,6.3,PHOTO VOLTAIC,6.5
MRCHNT2PL1X3,Desert Star Energy Center,494.58,COMBINED CYCLE,506
MRCHNT2CTG1,Desert Star Energy Center CT1,230,COMBUSTION TURBINE,163
MRCHNT2CTG2,Desert Star Energy Center CT2,201,COMBUSTION TURBINE,163
MRCHNT2STG,Desert Star Energy Center ST1,201,COMBUSTION TURBINE,180
DSRTSL2SOLAR1,Desert Stateline,296.19,PHOTO VOLTAIC,299.99
DSRTSN2SOLAR2,Desert Sunlight 250,250,PHOTO VOLTAIC,250
DSRTSN2SOLAR1,Desert Sunlight 300,300,PHOTO VOLTAIC,300
DIABLO7UNIT1,Diablo Canyon Unit 1,1150,STEAM,1150
DIABLO7UNIT2,Diablo Canyon Unit 2,1150,STEAM,1150
VOLTA6DIGHYD,Digger Creek Ranch Hydro,0.6,HYDRO,0.6
TIFFNY1DILLON,Dillon 1 Wind Project,45,WIND,45
DINUBA6UNIT,"Dinuba Energy, Inc.",12,STEAM,11.5
DONNLS7UNIT,Donnells Hydro,72,HYDRO,72
DRACKR2SOLAR1,Dracker Solar Unit 1,110,PHOTO VOLTAIC,110
DRACKR2SOLAR2,Dracker Solar Unit 2,125,PHOTO VOLTAIC,125
DRUM7UNIT5,Drum PH 2 Unit 5,50,HYDRO,50
DELSUR6DRYFRB,Dry Farm Ranch B,5,PHOTO VOLTAIC,5
ETIWND2SOLAR5,Dulles,2,PHOTO VOLTAIC,2
DUTCH17UNIT1,Dutch Flat PH 1 Unit 1,22,HYDRO,22
DUTCH27UNIT1,Dutch Flat PH 2 Unit 1,26,HYDRO,24.57
SNCLRA6OXGEN,"E. F. OXNARD, INCORPORATED",48.9,COMBUSTION TURBINE,47.7
EASTWD7UNIT,EASTWOOD PUMP-GEN,200,PUMPED STORAGE,199
EEKTMN6SOLAR1,EE K Solar 1,20,PHOTO VOLTAIC,20
ELDORO7UNIT1,EL DORADO POWERHOUSE UNIT 1,11,HYDRO,10.5
ELDORO7UNIT2,EL DORADO POWERHOUSE UNIT 2,11,HYDRO,10.5
VALLEY7UNITA1,EL SOBRANTE LANDFILL GAS GENERATION,3.74,RECIPROCATING ENGINE,4.05
ELECTR7PL1X3,ELECTRA PH (AGGREGATE),101.5,HYDRO,101.5
ELECTR7UNIT1,Electra Unit 1,31.7,HYDRO,31.7
ELECTR7UNIT2,Electra Unit 2,31.7,HYDRO,31.7
ELECTR7UNIT3,Electra Unit 3,38.1,HYDRO,38.1
ELKHIL2PL1X3,ELK HILLS GENERATING PROJECT (AGGREGATE),551.7,COMBINED CYCLE,610
ELKHIL7CTG1,ELK HILLS COMBUSTION TURBINE UNIT 1,169,COMBUSTION TURBINE,198.5
ELKHIL7CTG2,ELK HILLS COMBUSTION TURBINE UNIT 2,169,COMBUSTION TURBINE,198.5
ELKHIL7STG,ELK HILLS STEAM TURBINE UNIT 3,223,STEAM,213
ELLIS2QF,ELLIS AREA LUMPED UNITS,18.51,,28.24
ENERSJ2WIND,ESJ Wind Energy,155.1,WIND,155.1
ETIWND2QF,ETIWANDA AREA LUMPED UNITS,37.22,HYDRO,37.22
ETIWND6MWDETI,ETIWANDA HYDRO RECOVERY PLANT,24,HYDRO,23.9
ETIWND7UNIT3,ETIWANDA UNIT 3,320,STEAM,333
ETIWND7UNIT4,ETIWANDA UNIT 4,320,STEAM,333
GOLETA6EXGEN,"EXXON COMPANY, USA",48.2,COMBUSTION TURBINE,49
GARNET2WIND5,Eastwind,3,WIND,3
CAPWD1QF,Edom Hills Wind Farm,19.55,WIND,20
ELCAJN6LM6K,El Cajon Energy Center,48.1,COMBUSTION TURBINE,49.9
ELCAJN7GT1,El Cajon GT,16.36,COMBUSTION TURBINE,15
ELNIDP6BIOMAS,El Nido Biomass to Energy,10.5,STEAM,12.5
ELSEGN2UN1011,El Segundo Energy Center 5/6,263,COMBINED CYCLE,348
ELSEGN2UNIT10,El Segundo Energy Center Unit 5,90.5,COMBINED CYCLE,235
ELSEGN2UNIT11,El Segundo Energy Center Unit 6,228,COMBINED CYCLE,83.2
ELSEGN2UN2021,El Segundo Energy Center 7/8,263.68,COMBINED CYCLE,348
GOLETA6ELLWOD,Ellwood Generating Station,54,COMBUSTION TURBINE,56
ENCINA7GT1,Encina GT 1,14.5,COMBUSTION TURBINE,18
ENCINA7EA1,Encina Unit 1,106,STEAM,106.25
ENCINA7EA2,Encina Unit 2,104,STEAM,110.25
ENCINA7EA3,Encina Unit 3,110,STEAM,110.25
ENCINA7EA4,Encina Unit 4,300,STEAM,306
ENCINA7EA5,Encina Unit 5,330,STEAM,345.6
ORLND6SOLAR1,Enerparc California 2,1.5,PHOTO VOLTAIC,1.5
ESCNDO6UNITB1,Enterprise,48.04,COMBUSTION TURBINE,46.9
ESCNDO6PL1X2,Escondido Energy Center,48.71,COMBUSTION TURBINE,49.5
EXCLSG1SOLAR,Excelsior Solar,60,PHOTO VOLTAIC,60
EXCHEC7UNIT1,Exchequer,94.5,HYDRO,94.5
VICTOR1EXSLRA,Expressway Solar A,2,PHOTO VOLTAIC,2
VICTOR1EXSLRB,Expressway Solar B,2,PHOTO VOLTAIC,2
CURTIS1FARFLD,FAIRFIELD POWER PLANT,0.9,HYDRO,0.9
FAIRHV6UNIT,FAIRHAVEN POWER CO.,19.9,STEAM,19.9
BOGUE1UNITA1,FEATHER RIVER ENERGY CENTER,46.3,COMBUSTION TURBINE,49.9
FELLOW7QFUNTS,FELLOW QF UNIT AGGREGATE,10.5,VARIOUS,17.25
FELLOW1SHELLW,FREEPORT-MCMORAN OIL AND GAS LLC (DOME),,COMBUSTION TURBINE,6.06
FELLOW1TENNCO,AERA ENERGY LLC. (Oxford),,COMBUSTION TURBINE,6
FELLOW7MIDSUN,AERA ENERGY LLC. (N. MIDWAY SUNSET),,COMBUSTION TURBINE,4.25
ETIWND2FONTNA,FONTANA/LYTLE CREEK HYDRO (AGGREGATE),2.56,HYDRO,3.45
SAUGUS6MWDFTH,FOOTHILL HYDROELECTRIC RECOVERY PLANT,9.1,HYDRO,9.1
FTSWRD7QFUNTS,FORT SEWARD QF AGGREGATION,1.6,AGGREGATION,0.3
BRDSLD2MTZUMA,FPL Energy Montezuma Wind,36.8,WIND,36.8
AGRICO7UNIT,FRESNO COGEN PLANT,50.6,COMBINED CYCLE,54
AGRICO7UNIT2,Fresno Cogen STG Unit 2,7.5,STEAM,7.5
AGRICO7UNIT4,FRESNO COGEN CTG UNIT 4,46.5,COMBUSTION TURBINE,46.5
AGRICO6PL3N5,FRESNO PEAKER PLANT,22.69,COMBUSTION TURBINE,21.23
AGRICO6UNIT3,Fresno Cogen Peaker CTG3 Unit,,COMBUSTION TURBINE,21
AGRICO7ICE5,FRESNO PEAKER PLANT ICE UNIT,,INTERNAL COMBUSTION,0.23
FRIANT6UNITS,FRIANT DAM,25,HYDRO,25
FRITO1LAY,FRITO-LAY,6,COMBUSTION TURBINE,6
FULTON1QF,FULTON AREA LUMPED QF UNITS,1,HYDRO,1
PIT16FRIVRA,Fall River Mills Project A,1.5,PHOTO VOLTAIC,1.5
MCARTH6FRIVRB,Fall River Mills Project B,1.5,PHOTO VOLTAIC,1.5
SCHNDR1FIVPTS,Five Points Solar Station,15,PHOTO VOLTAIC,15
FORBST7UNIT1,Forbestown PH,37.5,HYDRO,39
WEBER6FORWRD,Forward,4.2,RECIPROCATING ENGINE,4.35
FMEADO7UNIT,French Meadows PH,18,HYDRO,18
FRESHW1SOLAR1,Freshwater Solar,20,PHOTO VOLTAIC,20
LAPAC6UNIT,Freshwater Tissue Company,20,STEAM,23
KERMAN6SOLAR1,Fresno Solar South,1.5,PHOTO VOLTAIC,1.5
KERMAN6SOLAR2,Fresno Solar West,1.5,PHOTO VOLTAIC,1.5
PEABDY2LNDFIL,G2 Energy Hay Road Power Plant,1.6,RECIPROCATING ENGINE,1.6
WHEATL6LNDFIL,"G2 Energy, Ostrom Road",3,RECIPROCATING ENGINE,1.6
GARNET1WIND,GARNET WIND ENERGY CENTER,6.5,WIND,6.5
HIWAY7ACANYN,GAS RECOVERY SYS. (AMERICAN CYN),2.5,RECIPROCATING ENGINE,2.5
GOLETA6GAVOTA,GAVIOTA OIL HEATING FACILITY,9.9,COMBUSTION TURBINE,10.5
COCOPP2CTG1,GENON MARSH LANDING GEN STATION UNIT 1,204.2,COMBUSTION TURBINE,222
COCOPP2CTG2,GENON MARSH LANDING GEN STATION UNIT 2,202.7,COMBUSTION TURBINE,222
COCOPP2CTG3,GENON MARSH LANDING GEN STATION UNIT 3,208.96,COMBUSTION TURBINE,222
COCOPP2CTG4,GENON MARSH LANDING GEN STATION UNIT 4,204.29,COMBUSTION TURBINE,222
GYS5X67UNITS,GEYSERS UNITS 5 & 6 (AGGREGATE),85,STEAM,110
GYS5X67UNIT5,Geysers Unit 5,55,STEAM,55
GYS5X67UNIT6,Geysers Unit 6,55,STEAM,55
GYS7X87UNITS,GEYSERS UNITS 7 & 8 (AGGREGATE),82,STEAM,110
GYS7X87UNIT7,Geysers Unit 7,55,STEAM,55
GYS7X87UNIT8,Geysers Unit 8,55,STEAM,55
GILROY1UNIT,GILROY COGEN,120,COMBINED CYCLE,140
GILROY1CT1,GILROY COGEN - UNIT 1,95,COMBUSTION TURBINE,95
GILROY1ST2,GILROY COGEN - UNIT 2,45,STEAM,45
GILRPP1PL1X2,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),95.4,COMBUSTION TURBINE,99.8
GILRPP1UNIT1,Gilroy Energy Center Unit 1,49.9,COMBUSTION TURBINE,49.9
GILRPP1UNIT2,Gilroy Energy Center Unit 2,49.9,COMBUSTION TURBINE,49.9
GOLDHL1QF,GOLD HILL AREA LUMPED QF UNITS,1.25,WIND,1.25
GOLETA2QF,GOLETA AREA LUMPED UNITS,0.4,VARIOUS,0.33
LMBEPK2UNITA3,GOOSE HAVEN ENERGY CENTER,48,COMBUSTION TURBINE,49.9
GARNET1UNITS,GREEN POWER WIND FACILITY (Aggregate),16.5,WIND,16.5
GARNET1UNIT1,"GREEN POWER WIND UNIT 1, FACILITY WECS 98",6.75,WIND,6.75
GARNET1UNIT2,"GREEN POWER WIND UNIT 2, FACILITY WECS 28",6.75,WIND,3
GARNET1UNIT3,"GREEN POWER WIND UNIT 3, FACILITY WECS 67",3,WIND,6.75
USWPJR2UNITS,GREEN RIDGE POWER (JACKSON),78.2,WIND,78.2
USWNDR2UNITS,GREEN RIDGE POWER LLC- RUSSELL (Aggregate),59.6,WIND,59.6
USWND42UNITS,GREEN RIDGE POWER LLC-RALPH (Aggregate),80.2,WIND,80.2
GRNLF11UNITS,GREENLEAF UNIT #1 (Aggregate),49.5,COMBINED CYCLE,69
GRNLF21UNIT,GREENLEAF UNIT #2,63.75,COMBUSTION TURBINE,63.75
GRIDLY6SOLAR,GRIDLEY MAIN TWO,2.5,PHOTO VOLTAIC,2.5
GWFPWR1UNITS,GWF HEP PEAKER PLANT (AGGREGATE),98.46,COMBUSTION TURBINE,96
GWFPWR1CT1,GWF HEP Unit 1,48,COMBUSTION TURBINE,48
GWFPWR1CT2,GWF HEP Unit 2,48,COMBUSTION TURBINE,48
GARLND2GASLRA,Garland A,20,PHOTO VOLTAIC,20
GARLND2GASLR,Garland B,180,PHOTO VOLTAIC,180
GARNET1SOLAR2,Garnet Solar Power Generation Station 1,4,PHOTO VOLTAIC,4
GARNET1WINDS,Garnet Winds Aggregation,22.5,WIND,22.5
GATES2SOLAR,Gates Solar Station,20,PHOTO VOLTAIC,20
GATWAY2PL1X3,Gateway Generating Station,562.5,COMBINED CYCLE,619
GENESI2STG,Genesis Station,250,STEAM,250
GENESI2STG1,STG Unit 1,140,STEAM,125
GENESI2STG2,STG Unit 2,140,STEAM,125
NCPA7GP1UN1,Geothermal Plant 1 Unit 1,38.85,STEAM,55
NCPA7GP1UN2,Geothermal Plant 1 Unit 2,34,STEAM,55
NCPA7GP2UN3,Geothermal Plant 2 Unit 3,42.42,STEAM,55
NCPA7GP2UN4,Geothermal Plant 2 Unit 4,52.73,STEAM,55
LITLRK6SEPV01,Gestamp Solar 1,2,PHOTO VOLTAIC,2
GEYS117UNIT11,Geysers Unit 11,74.4,STEAM,110
GEYS127UNIT12,Geysers Unit 12,57,STEAM,66
GEYS137UNIT13,Geysers Unit 13,95,STEAM,102
GEYS147UNIT14,Geysers Unit 14,70,STEAM,114
GEYS167UNIT16,Geysers Unit 16,85,STEAM,119
GEYS177UNIT17,Geysers Unit 17,60,STEAM,65
GEYS187UNIT18,Geysers Unit 18,72,STEAM,119
GEYS207UNIT20,Geysers Unit 20,62,STEAM,119
CSCGNR1UNIT1,Gianera GT 1,24.75,COMBUSTION TURBINE,24.75
CSCGNR1UNIT2,Gianera GT 2,24.75,COMBUSTION TURBINE,24.75
GIFFEN6SOLAR,Giffen Solar station,10,PHOTO VOLTAIC,19
GILARV2PVWDYN,Gila River Dynamic Resource,290.8,COMBINED CYCLE,2000
GILRPP1PL3X4,Gilroy Energy Center Unit 3,46.2,COMBUSTION TURBINE,49.9
GLNARM7UNIT1,Glen Arm Power Plant 1,22.07,COMBUSTION TURBINE,30.58
GLNARM7UNIT2,Glen Arm Power Plant 2,22.3,COMBUSTION TURBINE,30.58
GLNARM7UNIT3,Glen Arm Power Plant 3,44.83,COMBUSTION TURBINE,47.3
GLNARM7UNIT4,Glen Arm Power Plant 4,42.42,COMBUSTION TURBINE,47.3
ESCO6GLMQF,Goal Line Cogen,49.9,COMBUSTION TURBINE,52.2
USWND21WIND1,Golden Hills A,42.96,WIND,4.3
USWND21WIND2,Golden Hills B,42.96,WIND,42.96
DELAMO2SOLRD,Golden Solar Building D,1.25,PHOTO VOLTAIC,1.4
DELAMO2SOLRC1,Golden Springs Building C1,1.16,PHOTO VOLTAIC,1.17
DELAMO2SOLAR1,Golden Springs Building H,1.5,PHOTO VOLTAIC,1.5
DELAMO2SOLAR2,Golden Springs Building M,1.75,PHOTO VOLTAIC,1.75
GOOSLK1SOLAR1,Goose Lake,12,PHOTO VOLTAIC,12
ETIWND6GRPLND,Grapeland Peaker,46,COMBUSTION TURBINE,49
CONTAN1UNIT,Graphic Packaging Cogen,27.7,COMBINED CYCLE,27.8
DAVIS1SOLAR1,Grasslands 3,1,PHOTO VOLTAIC,1
DAVIS1SOLAR2,Grasslands 4,1,PHOTO VOLTAIC,1
GRIFFI2LSPDYN,Griffith Energy,570,COMBINED CYCLE,570
GRIZLY1UNIT1,Grizzly PH,20,HYDRO,20
GUERNS6SOLAR,Gurensey Solar Station,20,PHOTO VOLTAIC,20
VERNON6GONZL1,H. GONZALES GAS TURBINE 1,5.75,COMBUSTION TURBINE,5.75
VERNON6GONZL2,H. GONZALES GAS TURBINE 2,5.75,COMBUSTION TURBINE,5.75
HAASPH7PL1X2,HAAS PH (AGGREGATE),144,HYDRO,144
HAASPH7UNIT1,Haas PH Unit 1,72,HYDRO,72
HAASPH7UNIT2,Haas PH Unit 2,72,HYDRO,72
HMLTBR6UNITS,HAMILTON BRANCH PH (Aggregate),4.9,HYDRO,4.8
HARBGN7UNITS,HARBOR COGEN COMBINED CYCLE PLANT,109.01,COMBINED CYCLE,107.45
HARBGN7UNIT1,Harbor Cogen Combustion Turbine Unit 1,82.3,COMBUSTION TURBINE,82.35
HARBGN7UNIT2,Harbor Cogen Steam Turbine Unit 2,13.6,STEAM,13.6
HARBGN7UNIT3,Harbor Cogen Steam Turbine Unit 3,11.5,STEAM,11.5
HATCR17UNIT,HAT CREEK 1,8.5,HYDRO,8.5
HATCR27UNIT,HAT CREEK 2,8.5,HYDRO,8.5
HATLOS6QFUNTS,HAT CREEK AREA LUMPED UNITS,2.75,HYDRO,2.75
HAYPRS6QFUNTS,HAYPRESS HYDROELECTRIC (Aggregate),18.75,HYDRO,18.75
HIGGNS7QFUNTS,HIGGINS QF Aggregate,2,HYDRO,0.5
HIDSRT2UNITS,HIGH DESERT POWER PROJECT (AGGREGATE),830,COMBINED CYCLE,854.9
HIDSRT7CTG1,HIGH DESERT COMBUSTION TURBINE UNIT 1,177.3,COMBUSTION TURBINE,177.3
HIDSRT7CTG2,HIGH DESERT COMBUSTION TURBINE UNIT 2,177.3,COMBUSTION TURBINE,177.3
HIDSRT7CTG3,HIGH DESERT COMBUSTION TURBINE UNIT 3,177.3,COMBUSTION TURBINE,177.3
HIDSRT7STG,HIGH DESERT STEAM TURBINE,323,STEAM,323
SIERRA1UNITS,HIGH SIERRA LIMITED,52.43,COMBUSTION TURBINE,48.08
BRDSLD2HIWIND,HIGH WINDS PROJECT,162,WIND,162
NHOGAN6UNITS,HOGAN PH (AGGREGATE),4,HYDRO,4
NHOGAN6UNIT1,Hogan Unit 1,2.2,HYDRO,2.2
NHOGAN6UNIT2,Hogan Unit 2,1.1,HYDRO,1.1
HYTTHM2UNITS,HYATT-THERMALITO P-G PROJECT (AGGREGATE),933.1,PUMPED STORAGE,941.4
HYATT2UNIT1,Edward Hyatt Gen Unit 1,141.6,PUMPED STORAGE,141.6
HYATT2UNIT2,Edward Hyatt P-G Unit 2,132.2,PUMPED STORAGE,132.2
HYATT2UNIT3,Edward Hyatt Gen Unit 3,141.6,PUMPED STORAGE,141.6
HYATT2UNIT4,Edward Hyatt P-G Unit 4,132.2,PUMPED STORAGE,132.2
HYATT2UNIT5,Edward Hyatt Gen Unit 5,141.6,PUMPED STORAGE,141.6
HYATT2UNIT6,Edward Hyatt P-G Unit 6,132.2,PUMPED STORAGE,132.2
THERMA2UNIT1,Thermalito Gen Unit 1,36,PUMPED STORAGE,36
THERMA2UNIT2,Thermalito P-G Unit 2,28,PUMPED STORAGE,28
THERMA2UNIT3,Thermalito P-G Unit 3,28,PUMPED STORAGE,28
THERMA2UNIT4,Thermalito P-G Unit 4,28,PUMPED STORAGE,28
FORKBU6UNIT,"HYPOWER, INC. (a/k/a Forks of Butte)",14.3,HYDRO,14.3
HALSEY6UNIT,Halsey PH,13.5,HYDRO,13.5
LIVEOK6SOLAR,Harris,1.25,PHOTO VOLTAIC,1.25
HATRDG2WIND,Hatchet Ridge Wind Farm,102,WIND,101.2
LAMONT1SOLAR4,Hayworth Solar Farm,26.66,PHOTO VOLTAIC,33.26
FMEADO6HELLHL,Hell Hole Powerhouse,0.6,HYDRO,0.6
HELMPG7UNIT1,Helms PGP Unit 1,407,PUMPED STORAGE,407
HELMPG7UNIT2,Helms PGP Unit 2,407,PUMPED STORAGE,407
HELMPG7UNIT3,Helms PGP Unit 3,404,PUMPED STORAGE,404
HENRTA6UNITA1,Henrietta Peaker Plant Unit 1,49.98,COMBUSTION TURBINE,49
HENRTA6UNITA2,Henrietta Peaker Plant Unit 2,49.42,COMBUSTION TURBINE,49
HENRTS1SOLAR,Henrietta Solar Project,100,PHOTO VOLTAIC,100
VICTOR1SLRHES,Hesperia,1.5,PHOTO VOLTAIC,1.5
ORLND6HIGHLI,High Line Canal Hydro,0.5,HYDRO,0.53
PLMSSR6HISIER,High Sierra Cogeneration Aggregate,6,INTERNAL COMBUSTION,6
HOLSTR1SOLAR2,Hollister Solar,1.5,PHOTO VOLTAIC,1.5
SCEHOV2HOOVER,Hoover Dam,525,HYDRO,357
SNCLRA2HOWLNG,"Houweling Nurseries Oxnard, Inc",13,INTERNAL COMBUSTION,13.2
HUMBPP6UNITS,Humboldt Bay Generating Station 1,97.62,RECIPROCATING ENGINE,97.62
HUMBPP6UNITS1,Humboldt Bay Generating Station Unit 1,48.81,RECIPROCATING ENGINE,48.81
HUMBPP6UNITS2,Humboldt Bay Generating Station Unit 2,48.81,RECIPROCATING ENGINE,48.81
HUMBPP1UNITS3,Humboldt Bay Generating Station 3,65.08,RECIPROCATING ENGINE,65.08
HNTGBH7UNIT1,Huntington Beach 1,225.75,STEAM,226
HNTGBH7UNIT2,Huntington Beach 2,225.8,STEAM,226
HURON6SOLAR,Huron Solar Station,20,PHOTO VOLTAIC,20
IGNACO1QF,IGNACIO AREA LUMPED QF UNITS,0.5,WIND,0.3
RAMON2SCEDYN,IID Mirage Dynamic Schedule,414.4,VARIOUS,451.6
INDVLY1UNITS,INDIAN VALLEY HYDRO,3.01,HYDRO,3.01
INSKIP2UNIT,INSKIP,8,HYDRO,8
INTTRB6UNIT,INTERNATIONAL TURBINE RESEARCH,21.25,WIND,21.25
MALIN5IBERDR,Iberdrola Centroid Sytem Resource,100,SYSTEM UNIT,100
IVWEST2SOLAR1,Imperial Solar Energy Center West,150,PHOTO VOLTAIC,153.6
CSLR4S2SOLAR,Imperial Valley (Csolar IV),130,PHOTO VOLTAIC,130
INDIGO1UNIT1,Indigo Energy 1,44,COMBUSTION TURBINE,45
INDIGO1UNIT2,Indigo Energy 2,44.53,COMBUSTION TURBINE,45
INDIGO1UNIT3,Indigo Energy 3,43.69,COMBUSTION TURBINE,45
WALNUT2SOLAR,Industry MetroLink PV1,1.5,PHOTO VOLTAIC,1.75
INLDEM5UNIT2,"Inland Empire Energy Center, L.L.C. Unit 2",366.32,COMBINED CYCLE,405
INLDEM5UNIT1,"Inland Empire Energy Center, Unit 1",376.2,COMBINED CYCLE,405
INTMNT3ANAHEIM,Intermountain Power Project,236,STEAM,236
INTMNT3PASADENA,Intermountain Power Project,107,STEAM,108
INTMNT3RIVERSIDE,Intermountain Power Project,137,STEAM,137
IVANPA1UNIT1,Ivanpah 1,123.2,STEAM,126
IVANPA1UNIT2,Ivanpah 2,133,STEAM,133
IVANPA1UNIT3,Ivanpah 3,133,STEAM,133
BLACK7UNIT1,James B. Black 1,85,HYDRO,85
BLACK7UNIT2,James B. Black 2,84.1,HYDRO,84.1
GONZLS6UNIT,Johnson Canyon Landfill,1.42,INTERNAL COMBUSTION,1.42
WFRESN1SOLAR,Joya Del Sol,1.5,PHOTO VOLTAIC,1.5
CHINO2JURUPA,Jurupa,1.5,PHOTO VOLTAIC,1.5
RECTOR2KAWEAH,KAWEAH HYDRO PROJECT (AGGREGATE),6.55,HYDRO,6.6
KEARNY7KY3,KEARNY KY3 (AGGREGATE),61,COMBUSTION TURBINE,61
KEARNY7KY3A,Kearny KY3A,18,COMBUSTION TURBINE,16
KEARNY7KY3B,Kearny KY3B,18,COMBUSTION TURBINE,15
KEARNY7KY3C,Kearny KY3C,18,COMBUSTION TURBINE,15
KEARNY7KY3D,Kearny KY3D,18,COMBUSTION TURBINE,15
KIRKER7KELCYN,KELLER CANYON LANDFILL GEN FACILITY,3.56,RECIPROCATING ENGINE,3.8
KRNCNY6UNIT,KERN CANYON,11.5,HYDRO,11.5
KERNFT1UNITS,KERN FRONT LIMITED,52.4,COMBUSTION TURBINE,60
RIOBRV6UNIT1,KERN HYDRO (OLCESE) (aka RIO BRAVO HYDRO),18.4,HYDRO,18.4
OMAR2UNIT1,KERN RIVER COGENERATION UNIT 1,78,COMBUSTION TURBINE,85
OMAR2UNIT2,KERN RIVER COGENERATION UNIT 2,78.11,COMBUSTION TURBINE,85
OMAR2UNIT3,KERN RIVER COGENERATION UNIT 3,81.41,COMBUSTION TURBINE,85
OMAR2UNIT4,KERN RIVER COGENERATION UNIT 4,81.44,COMBUSTION TURBINE,85
KERRGN1UNIT1,KERN RIVER PH 1 (AGGREGATE),25.6,HYDRO,25.6
VESTAL2KERN,KERN RIVER PH 3 (AGGREGATE),36.8,HYDRO,36.8
VESTAL6KERNU1,Kern River PH 3 Unit 1,20.5,HYDRO,18.4
VESTAL6KERNU2,Kern River PH 3 Unit 2,19.7,HYDRO,18.4
KILARC2UNIT1,KILARC,3.2,HYDRO,3.2
CRSTWD6KUMYAY,KUMEYAAY WIND FARM,50,WIND,50
LEPRFD1KANSAS,Kansas,20,PHOTO VOLTAIC,20
GARNET2WIND2,Karen Avenue Wind Farm,11.7,WIND,11.7
RECTOR2KAWH1,Kaweah PH 1 Unit 1,2.25,HYDRO,2.25
KEKAWK6UNIT,Kekawaka Creek Hydroelectic Facility,5.5,HYDRO,5.5
KELYRG6UNIT,Kelly Ridge PH,11,HYDRO,11
KNTSTH6SOLAR,Kent South,20,PHOTO VOLTAIC,20
KERKH17UNIT1,Kerckhoff PH 1 Unit #1,13,HYDRO,13
KERKH17UNIT3,Kerckhoff PH 1 Unit #3,12.8,HYDRO,12.8
KERKH27UNIT1,Kerckhoff PH 2 Unit #1,153.9,HYDRO,153.9
LOCKFD1KSOLAR,Kettleman Solar,1,PHOTO VOLTAIC,1
KNGCTY6UNITA1,King City Energy Center,44.6,COMBUSTION TURBINE,49.9
KNGBRD2SOLAR1,Kingbird Solar A,20,PHOTO VOLTAIC,20
KNGBRD2SOLAR2,Kingbird Solar B,20,PHOTO VOLTAIC,20
KINGRV7UNIT1,Kings River Unit 1,51.2,HYDRO,51.2
KNGBRG1KBSLR1,Kingsburg 1,1.5,PHOTO VOLTAIC,1.5
KNGBRG1KBSLR2,Kingsburg 2,1.5,PHOTO VOLTAIC,1.5
PADUA2SOLAR1,Kona Solar - Rancho DC #1,1.75,PHOTO VOLTAIC,
LAPLMA2UNIT1,LA PALOMA UNIT 1,259.8,COMBINED CYCLE,255.6
LAPLMA2UNIT2,LA PALOMA UNIT 2,260.2,COMBINED CYCLE,255.6
LAPLMA2UNIT3,LA PALOMA UNIT 3,256.15,COMBINED CYCLE,255.6
LAPLMA2UNIT4,LA PALOMA UNIT 4,259.54,COMBINED CYCLE,255.6
LAGBEL6QF,LAGUNA BELLE AREA LUMPED UNITS,17.5,,17.41
MIRLOM7MWDLKM,LAKE MATHEWS HYDRO RECOVERY PLANT,5,HYDRO,4.9
LMBEPK2UNITA1,LAMBIE ENERGY CENTER,48,COMBUSTION TURBINE,49.9
LASSEN6UNITS,LASSEN AREA QF AGGREGATION,32,STEAM,32
BUCKCK2HYDRO,LASSEN STATION HYDRO,0.99,HYDRO,0.99
CLRKRD6LIMESD,LIME SADDLE,2,HYDRO,2
PLSNTG7LNCLND,LINCOLN LANDFILL POWER PLANT,4.98,RECIPROCATING ENGINE,1.6
LIVOAK1UNIT1,LIVE OAK LIMITED,47.49,COMBUSTION TURBINE,58.48
LODI252UNIT1,LODI GAS TURBINE,25.3,COMBUSTION TURBINE,25.4
LECEF1UNITS,LOS ESTEROS ENERGY FACILITY (AGGREGATE),294,COMBUSTION TURBINE,319.6
LECEF1CGT1,LOS ESTEROS ENERGY FACILITY UNIT 1,49.9,COMBUSTION TURBINE,49.9
LECEF1CGT2,LOS ESTEROS ENERGY FACILITY UNIT 2,49.9,COMBUSTION TURBINE,49.9
