PLANT,unitid,fipscode,state,facilityname,CO2rate,NOXrate,SO2rate
56532,"CT1",11,"CA","Colusa Generating Station",.8795925,.0990477,.0044405
56532,"CT2",11,"CA","Colusa Generating Station",.9006613,.1174098,.0045467
56569,"1",25,"CA","Niland Gas Turbine Plant",.9853436,.054455,.0049754
56569,"2",25,"CA","Niland Gas Turbine Plant",.9835503,.0761241,.004967
56639,"1",19,"CA","Midway Peaking",1.036959,.1745465,.0052367
56639,"2",19,"CA","Midway Peaking",1.045969,.1758,.0052815
56803,"1",19,"CA","Panoche Energy Center",.9050344,.0895211,.0045698
56803,"2",19,"CA","Panoche Energy Center",.9188489,.0943545,.0046389
56803,"3",19,"CA","Panoche Energy Center",.9090496,.0945747,.0045902
56803,"4",19,"CA","Panoche Energy Center",.9145167,.0990599,.0046174
56914,"CTG1",73,"CA","Orange Grove Project",.9515179,.1444696,.004804
56914,"CTG2",73,"CA","Orange Grove Project",.9774339,.1502622,.0049354
57001,"1",73,"CA","El Cajon Energy Center",.9737257,.1424063,.0049159
57027,"1",59,"CA","Canyon Power Plant",1.029137,.0923376,.0051968
57027,"2",59,"CA","Canyon Power Plant",1.03122,.0870733,.0052071
57027,"3",59,"CA","Canyon Power Plant",1.072623,.0837737,.005415
57027,"4",59,"CA","Canyon Power Plant",1.058235,.1002023,.0053421
57073,"BLR1",71,"CA","Ivanpah 2",,,
57074,"BLR1",71,"CA","Ivanpah 1",,,
57075,"BLR1",71,"CA","Ivanpah 3",,,
57267,"1",13,"CA","Marsh Landing Generating Station",1.162036,.0777221,.0058662
57267,"2",13,"CA","Marsh Landing Generating Station",1.169496,.0733582,.0059039
57267,"3",13,"CA","Marsh Landing Generating Station",1.171919,.0829308,.0059158
57267,"4",13,"CA","Marsh Landing Generating Station",1.189224,.0779435,.0060039
57482,"1",65,"CA","Sentinel Energy Center, LLC",.933256,.0929492,.0047116
57482,"2",65,"CA","Sentinel Energy Center, LLC",.9629979,.0965733,.004861
57482,"3",65,"CA","Sentinel Energy Center, LLC",.9894742,.1010993,.0049961
57482,"4",65,"CA","Sentinel Energy Center, LLC",.9535723,.1049705,.004815
57482,"5",65,"CA","Sentinel Energy Center, LLC",.9662471,.0984525,.004878
57482,"6",65,"CA","Sentinel Energy Center, LLC",.9622518,.0881513,.0048583
57482,"7",65,"CA","Sentinel Energy Center, LLC",.9596077,.0919617,.0048454
57482,"8",65,"CA","Sentinel Energy Center, LLC",.9316388,.0988256,.0047026
57483,"GT-1",1,"CA","Mariposa Energy Project",.9383876,.1054388,.0054508
57483,"GT-2",1,"CA","Mariposa Energy Project",.9471357,.1116581,.0054877
