ORISPL,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
7824,6.476,1.763,"2,052.471",0.007
58751,,,,
58752,,,,
57713,29.931,0.036,"1,334.028",0.003
58297,,,,0.002
58296,,,,0.002
58298,,,,0.002
34,,,,
58498,,,,
58499,,,,
56469,2.045,0.138,0.000,0.051
7452,4.873,0.049,"1,781.183",0.003
56298,0.055,0.005,999.004,0.002
62114,,,,
57419,,,,
59410,,,,
57960,,,,
357,,,,
56467,0.055,0.004,870.829,0.002
58449,,,,
59323,,,,
58636,,,,
7552,0.075,0.005,959.276,0.002
61209,,,,
56875,,,,
54800,1.595,0.017,604.887,0.001
50610,,,,
50865,0.065,0.004,776.557,0.001
279,,,,
10879,0.000,0.935,160.340,
10759,0.000,0.935,160.340,
54996,0.000,0.935,160.340,
10878,0.000,0.935,160.340,
55983,0.000,0.935,160.340,
50234,31.648,0.038,"1,383.244",0.003
57904,,,,
62754,,,,
50061,2.015,0.020,735.947,0.001
6646,,,,
50233,,,,
403,,,,
56305,,,,
56306,,,,
6479,,,,
6480,,,,
54017,,,,
7148,,,,
50281,,,,
50690,,,,
54454,,,,
60972,,,,
276,,,,
277,,,,
60678,,,,
10548,2.261,0.023,854.323,0.002
360,,,,
62004,,,,
50400,,,,
57361,,,,
361,,,,
363,,,,
50534,,,,
7232,2.810,0.029,"1,060.375",0.002
57876,0.000,0.394,0.000,0.000
58913,,,,
58912,,,,
50076,,,,
10733,,,,
56284,3.840,0.008,"2,639.821",0.005
57100,,,,
60946,,,,
58625,,,,0.001
60385,,,,0.002
62039,,,,
50864,,,,
59074,42.160,4.025,"2,264.400",0.018
7551,0.053,0.004,798.679,0.002
404,0.041,0.005,882.941,0.002
61006,,,,
59359,,,,
59360,,,,
59423,,,,
59422,,,,
59421,,,,
839,,,,
59138,,,,
59139,,,,
61843,,,,
54111,0.000,0.000,0.000,
10439,0.000,0.000,0.000,0.000
10440,0.000,0.000,0.000,0.000
10446,0.013,0.004,147.487,0.000
10441,0.000,0.000,0.000,0.000
10442,0.090,0.010,350.079,0.001
10443,0.075,0.012,439.372,0.001
10444,0.015,0.005,170.645,0.000
57482,0.106,0.006,"1,218.579",0.002
316,,,,
58073,,,,
59730,,,,
58074,,,,
58234,,,,
60745,,,,
60744,,,,
59740,,,,
59273,,,,
58227,,,,
59722,,,,
59723,,,,
57971,41.301,0.085,0.000,0.003
57043,,,,0.001
62649,,,,
59408,,,,
445,,,,
58814,,,,
62806,,,,
56362,,,,
57586,,,,
57725,,,,
56874,,,,
61803,,,,
58585,1.603,0.016,590.824,0.001
55049,,,,
50110,0.718,0.138,0.000,0.051
10144,0.554,0.139,0.000,0.051
50111,3.924,0.417,0.000,0.154
50112,2.917,0.497,0.000,0.184
54517,1.914,0.431,"3,561.982",0.159
59431,,,,
57323,,,,
57702,2.264,0.007,"1,556.511",0.003
60249,23.705,0.035,51.041,0.001
309,,,,
57364,,,,
50322,,,,
56080,9.710,0.011,387.997,0.001
50536,,,,
50961,,,,
776,,,,
57671,,,,
57669,,,,
57753,,,,
57670,,,,
61834,,,,
58621,,,,
50985,18.899,0.022,814.040,0.002
7526,,,,
60558,,,,
58592,,,,
56976,,,,
56996,,,,
57217,,,,
57218,,,,
57219,,,,
57220,,,,
57221,,,,
57222,,,,
57223,,,,
57224,,,,
57225,,,,
57226,,,,
57227,,,,
57228,,,,
57229,,,,
57230,,,,
57231,,,,
57232,,,,
57233,,,,
57234,,,,
57235,,,,
57237,,,,
57236,,,,
57127,,,,
57528,,,,
57245,,,,
57246,,,,
57247,,,,
57532,,,,
57533,,,,
57534,,,,
57535,,,,
57538,,,,
57539,,,,
