,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
10,LMEC_1_PL1X3,ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2,257.896679,39290.3,LOS MEDANOS ENERGY CENTER (AGGREGATE),"Los Medanos Energy Center, LLC",55217
45,MALAGA_1_PL1X2,ngcc,PGE_valley,96,7.61,7.87,8.13,39,96,2,2,2,44.2804428,6720,Malaga Power Aggregate,Malaga Power,56239
128,VERNON_6_MALBRG,ngcc,SCE,134,7.86,8.12,8.38,54,134,3,3,2,61.62361624,9380,Malburg Generating Station,Malburg Generating Station,56041
222,MNDALY_7_UNIT1,ngst,SCE,215,8.87,9.57,10.28,86,215,6,6,2,44.66257669,15050,Mandalay 1,Mandalay Generating Station,345
223,MNDALY_7_UNIT2,ngst,SCE,215.29,8.87,9.57,10.28,87,216,6,6,2,44.66257669,15070.3,Mandalay 2,Mandalay Generating Station,345
159,MNDALY_7_UNIT3,ngct,SCE,130,28.33,28.4,28.46,46,130,1,1,3.17,54.79452055,9100,Mandalay 3 GT,Mandalay Generating Station,345
17,KELSO_2_UNITS,ngct,PGE_bay,196,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720,Mariposa Energy Project,Mariposa Energy Project,57483
11,SHELRF_1_UNITS,ngcc,PGE_bay,100,8.87,9.13,9.39,40,100,5,5,2,45.94095941,7000,Martinez Refining Company (Aggregate),Martinez Refining,54912
177,MNDALY_6_MCGRTH,ngct,SCE,47.2,11.9,11.97,12.03,17,48,1,1,3.17,20,3304,McGrath Beach Peaker,McGrath Generating Station,56471
111,TXMCKT_6_UNIT,ngct,PGE_valley,11.2,6.41,6.48,6.54,4,12,1,1,3.17,4.657534247,784,McKittrick Cogen,McKittrick Cogen,52076
104,MKTRCK_1_UNIT1,ngct,PGE_valley,47.49,7.34,7.41,7.47,17,48,1,1,3.17,20,3324.3,MCKITTRICK LIMITED,McKittrick Limited,50612
4,METEC_2_PL1X3,ngcc,PGE_bay,593.16,5.97,6.23,6.49,238,594,2,2,2,272.5461255,41521.2,METCALF ENERGY CENTER,Metcalf Energy Center,55393
108,MIDSET_1_UNIT1,ngct,PGE_valley,52.9,7.15,7.22,7.28,19,53,1,1,3.17,22.19178082,3703,MIDSET COGENERATION,Mid-Set Cogeneration,10501
95,PNCHPP_1_PL1X2,ngct,PGE_valley,119.91,7.6,7.66,7.73,42,120,1,1,3.17,50.68493151,8393.7,Midway Peaking LLC,Midway Peaking,56639
96,SUNSET_2_UNITS,ngct,PGE_valley,248,7.6,7.66,7.73,87,248,1,1,3.17,104.6575342,17360,Midway Sunset Cogeneration Company,Midway Sunset Cogen,52169
189,MIRLOM_6_PEAKER,ngct,SCE,46,7.6,7.66,7.73,17,46,1,1,3.17,19.45205479,3220,Mira Loma Peaker,Mira Loma Generating Station,56473
