,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
86,8083,ID,Felt,6359,5,0,OP,HY,WAT,0.7,0.419,2569.406,1252.087,Distributed from 923 Generation And Fuel,1947,,PACE,PacifiCorp,43.913476,-111.283319,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
87,8084,ID,Felt Hydroelectric Plant,10028,GEN1,0,OP,HY,WAT,2.7,0.349,8250.324,4020.446,Distributed from 923 Generation And Fuel,1985,,PACE,PacifiCorp,43.909653,-111.285421,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
88,8085,ID,Felt Hydroelectric Plant,10028,GEN2,0,OP,HY,WAT,2.7,0.349,8250.324,4020.446,Distributed from 923 Generation And Fuel,1985,,PACE,PacifiCorp,43.909653,-111.285421,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
89,8088,ID,Fighting Creek LFGTE Plant,57902,G-123,0,OP,IC,LFG,1.6,0.409,5726.5,2404.5,Distributed from 923 Generation And Fuel,2012,,AVA,Kootenai Electric Cooperative,47.531667,-116.93,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
90,8089,ID,Fighting Creek LFGTE Plant,57902,G-162,0,OP,IC,LFG,1.6,0.409,5726.5,2404.5,Distributed from 923 Generation And Fuel,2012,,AVA,Kootenai Electric Cooperative,47.531667,-116.93,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
91,8090,ID,Ford Hydro LP,54674,GEN1,0,OP,HY,WAT,0.4,0.314,1102,537,Distributed from 923 Generation And Fuel,1988,,AVA,Avista Corp,46.383828,-115.949338,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
92,8091,ID,Ford Hydro LP,54674,GEN2,0,OP,HY,WAT,0.4,0.314,1102,537,Distributed from 923 Generation And Fuel,1988,,AVA,Avista Corp,46.383828,-115.949338,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
93,8092,ID,Ford Hydro LP,54674,GEN3,0,OP,HY,WAT,0.4,0.314,1102,537,Distributed from 923 Generation And Fuel,1988,,AVA,Avista Corp,46.383828,-115.949338,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
94,8093,ID,Fossil Gulch,56308,1,0,OP,WT,WND,10.5,0.28,25760,8616,Distributed from 923 Generation And Fuel,2005,,IPCO,Idaho Power Co,42.858056,-114.949444,Idaho,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0
95,8094,ID,Gem State,790,1,0,OP,HY,WAT,23.4,0.569,116563,56801,Distributed from 923 Generation And Fuel,1988,,PACE,City of Idaho Falls - (ID),43.420221,-112.101852,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0
96,8096,ID,Golden Valley Wind Park LLC,56435,GVWP,0,OP,WT,WND,12,0.298,31284,10464,Distributed from 923 Generation And Fuel,2011,,IPCO,Idaho Power Co,42.436804,-113.925536,Idaho,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
97,8097,ID,Goshen Phase II,57211,1,0,OP,WT,WND,124.5,0.283,308287,107443,Distributed from 923 Generation And Fuel,2010,,PACE,PacifiCorp,43.467057,-111.836381,Idaho,0.0,0.0,0.0,0.0,124.5,0.0,0.0,0.0,0.0,0.0
98,8098,ID,Grace,827,3,0,OP,HY,WAT,11,0.27,26024.667,12682,Distributed from 923 Generation And Fuel,1923,,PACE,PacifiCorp,42.53675,-111.793967,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
99,8099,ID,Grace,827,4,0,OP,HY,WAT,11,0.27,26024.667,12682,Distributed from 923 Generation And Fuel,1923,,PACE,PacifiCorp,42.53675,-111.793967,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
100,8100,ID,Grace,827,5,0,OP,HY,WAT,11,0.27,26024.667,12682,Distributed from 923 Generation And Fuel,1923,,PACE,PacifiCorp,42.53675,-111.793967,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
101,8101,ID,Grand View Solar Two,60068,GVS2,0,OP,PV,SUN,60,0.005,2686.5,0,Distributed from 923 Generation And Fuel,2016,,IPCO,Idaho Power Co,42.989614,-116.093431,Idaho,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
102,8102,ID,Grand View Solar Two,60068,GVS5,0,OP,PV,SUN,20,0.005,895.5,0,Distributed from 923 Generation And Fuel,2016,,IPCO,Idaho Power Co,42.989614,-116.093431,Idaho,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
103,8103,ID,Hammett Hill Windfarm,57428,1,0,OP,WT,WND,23,0.301,60594,20267,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,43.006133,-115.463289,Idaho,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
