,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
217,1535,AZ,Roosevelt,149,ROOS,0,OP,HY,WAT,36,0.187,58948,26050,Distributed from 923 Generation And Fuel,1973,,SRP,Salt River Project,33.671104,-111.161786,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
218,1536,AZ,Saddle Mountain Solar I,58213,AZ2,0,OP,PV,SUN,15,0.363,47762,23551,Distributed from 923 Generation And Fuel,2012,,AZPS,Arizona Public Service Co,33.378333,-113.180833,Arizona,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
219,1537,AZ,Saguaro,118,GE1,0,OP,GT,NG,78.3,0.01,6683.298,4550.312,Distributed from 923 Generation And Fuel,2002,,AZPS,Arizona Public Service Co,32.5517,-111.3,Arizona,0.0,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1538,AZ,Saguaro,118,GT1,0,OP,GT,NG,53.1,0.01,4532.351,3085.844,Distributed from 923 Generation And Fuel,1972,,AZPS,Arizona Public Service Co,32.5517,-111.3,Arizona,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1539,AZ,Saguaro,118,GT2,0,OP,GT,NG,53.1,0.01,4532.351,3085.844,Distributed from 923 Generation And Fuel,1973,,AZPS,Arizona Public Service Co,32.5517,-111.3,Arizona,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,1543,AZ,Sandstone Solar,59634,SNDST,0,OP,PV,SUN,45,0.308,121501,60854,Distributed from 923 Generation And Fuel,2015,,SRP,Salt River Project,33.035556,-111.430278,Arizona,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
223,1544,AZ,Santan,8068,ST1,1,OP,CS,NG,103.5,0.18,163472,75226,EIA-923 Generator File,1974,,SRP,Salt River Project,33.3325,-111.7503,Arizona,0.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,1545,AZ,Santan,8068,ST2,1,OP,CS,NG,103.5,0.175,158376,69608,EIA-923 Generator File,1974,,SRP,Salt River Project,33.3325,-111.7503,Arizona,0.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,1546,AZ,Santan,8068,ST3,1,OP,CS,NG,103.5,0.18,163261,75243,EIA-923 Generator File,1974,,SRP,Salt River Project,33.3325,-111.7503,Arizona,0.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1547,AZ,Santan,8068,ST4,1,OP,CS,NG,103.5,0.177,160904,72158,EIA-923 Generator File,1975,,SRP,Salt River Project,33.3325,-111.7503,Arizona,0.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,1548,AZ,Santan,8068,ST5A,0,OP,CT,NG,153.8,0.263,354037,286558,EIA-923 Generator File,2005,,SRP,Salt River Project,33.3325,-111.7503,Arizona,153.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,1549,AZ,Santan,8068,ST5B,0,OP,CT,NG,153.8,0.311,418866,334368,EIA-923 Generator File,2005,,SRP,Salt River Project,33.3325,-111.7503,Arizona,153.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1550,AZ,Santan,8068,ST5S,2,OP,CA,NG,314.5,0.201,554317,448683,EIA-923 Generator File,2005,,SRP,Salt River Project,33.3325,-111.7503,Arizona,314.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,1551,AZ,Santan,8068,ST6A,0,OP,CT,NG,153.8,0.442,595585,420496,EIA-923 Generator File,2006,,SRP,Salt River Project,33.3325,-111.7503,Arizona,153.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1552,AZ,Santan,8068,ST6S,1,OP,CA,NG,136.1,0.349,416361,295684,EIA-923 Generator File,2006,,SRP,Salt River Project,33.3325,-111.7503,Arizona,136.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1553,AZ,Solana Generating Station,56812,GEN 1,1,OP,CP,SUN,140,0.262,321835,178236,Distributed from 923 Generation And Fuel,2013,,AZPS,Arizona Public Service Co,32.922294,-112.95594,Arizona,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0
233,1554,AZ,Solana Generating Station,56812,GEN2,1,OP,CP,SUN,140,0.262,321835,178236,Distributed from 923 Generation And Fuel,2013,,AZPS,Arizona Public Service Co,32.922294,-112.95594,Arizona,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0
234,1555,AZ,South Consolidated,100,SC1,0,OP,HY,WAT,1.4,0,0,0,Distributed from 923 Generation And Fuel,1981,,SRP,Salt River Project,33.466477,-111.781064,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
235,1556,AZ,South Point Energy Center,55177,A,0,OP,CT,NG,236,0.034,69493,17092,EIA-923 Generator File,2001,,WALC,WAPA-- Western Area Power Administration,34.8678,-114.5317,Arizona,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,1558,AZ,South Point Energy Center,55177,ST1,2,OP,CA,NG,236,0.015,30911,7926,EIA-923 Generator File,2001,,WALC,WAPA-- Western Area Power Administration,34.8678,-114.5317,Arizona,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1559,AZ,Springerville,8223,1,1,OP,ST,SUB,424.8,0.551,2050882,1014266,EIA-923 Generator File,1985,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,424.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1560,AZ,Springerville,8223,2,1,OP,ST,SUB,424.8,0.736,2738947,1240291,EIA-923 Generator File,1990,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,424.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1561,AZ,Springerville,8223,3,1,OP,ST,SUB,458.1,0.519,2084688,1041357,EIA-923 Generator File,2006,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,458.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1562,AZ,Springerville,8223,4,1,OP,ST,SUB,458.1,0.562,2255233,1176401,EIA-923 Generator File,2009,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,458.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1563,AZ,Springerville,8223,SGSS,0,OP,PV,SUN,3.7,0.147,4779.351,2442.552,Distributed from 923 Generation And Fuel,2001,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0
242,1564,AZ,Springerville,8223,SGSS1,0,OP,PV,SUN,1.4,0.147,1808.403,924.209,Distributed from 923 Generation And Fuel,2010,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
243,1565,AZ,Springerville,8223,WMS,0,OP,PV,SUN,8.3,0.147,10721.246,5479.239,Distributed from 923 Generation And Fuel,2014,,TEPC,Tucson Electric Power Co,34.3186,-109.1639,Arizona,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0
244,1567,AZ,SR85,59444,PV1,0,OP,PV,SUN,10,0.102,8924,4400,Distributed from 923 Generation And Fuel,2015,,AZPS,Arizona Public Service Co,33.145,-112.66,Arizona,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
245,1568,AZ,Stewart Mountain,150,SM,0,OP,HY,WAT,13,0.241,27419,12117,Distributed from 923 Generation And Fuel,1930,,SRP,Salt River Project,33.5661,-111.536,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
246,1569,AZ,Sulphur Springs,60381,SSSP,0,OP,PV,SUN,20,0.027,4656,0,Distributed from 923 Generation And Fuel,2016,,WALC,Sulphur Springs Valley E C Inc,32.0628,-109.919283,Arizona,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
247,1571,AZ,Sundance,55522,CT1,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1572,AZ,Sundance,55522,CT10,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1573,AZ,Sundance,55522,CT2,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1574,AZ,Sundance,55522,CT3,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1575,AZ,Sundance,55522,CT4,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1576,AZ,Sundance,55522,CT5,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1577,AZ,Sundance,55522,CT6,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,1578,AZ,Sundance,55522,CT7,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1579,AZ,Sundance,55522,CT8,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,1580,AZ,Sundance,55522,CT9,0,OP,GT,NG,60.5,0.044,23437.2,9176.9,Distributed from 923 Generation And Fuel,2002,,WALC,WAPA-- Western Area Power Administration,32.9285,-111.5899,Arizona,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
