Name,Bus ID,Bus Name,Long Name,ServiceStatus,Commission Date,Retirement Date,DevStatus,Area Name,Region Name,State
YakamaDrop3-2,1000,Bus1000,Yakama Drop 3-2,#FALSE#,#1931-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Yelm_1,1000,Bus1000,Yelm-1,#FALSE#,#1929-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Yelm_2,1000,Bus1000,Yelm-2,#FALSE#,#1929-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Yelm_3,1000,Bus1000,Yelm-3,#FALSE#,#1954-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
YoungsCreek,1000,Bus1000,Youngs Creek Hydroelectric Project-1,#FALSE#,#2010-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
DallesDamNorthFshwy,1000,Bus1000,Dalles Dam North Fishway Project-1,#FALSE#,#1991-05-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
SoTreatmentCC-Total,1000,Bus1000,South Treatment Plant (Total CC Plant),#FALSE#,#2005-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
ToledoMill1,1000,Bus1000,Georgia Pacific Toledo Mill-TG1,#FALSE#,#2004-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Columbia_Wind,1000,Bus1000,Columbia Wind Project-WT (65 x ),#FALSE#,#2018-12-31#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,OR
DillardComplexGEN4,1000,Bus1000,Dillard Complex-GEN4,#FALSE#,#1955-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
DillardComplexGEN5,1000,Bus1000,Dillard Complex-GEN5,#FALSE#,#1955-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
FranklinGrays1,1000,Bus1000,Franklin_Grays-GT1,#FALSE#,#2002-07-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
FranklinGrays3,1000,Bus1000,Franklin_Grays-GT3,#FALSE#,#2002-07-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
FranklinGrays4,1000,Bus1000,Franklin_Grays-GT4,#FALSE#,#2002-07-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
STANDBY_AGG._3,1000,Bus1000,STANDBY AGG.-3,#FALSE#,#2003-07-01#,#2030-04-15#,Existing,PNM,SW_PNM,OR
zzebraSACHEEN,1000,Bus1000,Unknown Type & Dynamic Model in Power Flow,#FALSE#,#1986-04-15#,#2010-04-15#,Existing,PNM,SW_PNM,NM
zzebraTOKETEE,1000,Bus1000,Unknown Type & Dynamic Model in Power Flow,#FALSE#,#1986-04-15#,#2010-04-15#,Existing,PNM,SW_PNM,NM
DR_NEVP-2,1000,Bus1000,NEVP Demand Response (2of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
DR_NEVP-3,1000,Bus1000,NEVP Demand Response (3of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
DR_NEVP-4,1000,Bus1000,NEVP Demand Response (4of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
DR_NEVP-5,1000,Bus1000,NEVP Demand Response (5of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
DR_NEVP-6,1000,Bus1000,NEVP Demand Response (6of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
DR_NEVP-7,1000,Bus1000,NEVP Demand Response (7of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
