num,num_1,Name,DOE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Name_Description,netcap,typ,PLPRMFL,PLFUELCT,NAMEPCAP
100,73,Martinez Sulfuric Acid Regeneration Plt,52063,,,,,,,,,,,,,,Martinez Cogen Limited Partnership,114.8,ngcc,WH,OTHF,4
101,74,Martinez Refining,54912,,,,,,,,,,,,,,Martinez Refining Company (Aggregate),100.0,ngcc,NG,GAS,100
102,75,McKittrick Cogen,52076,,,,,,,,,,,,,,McKittrick Cogen,11.2,ngct,NG,GAS,21.6
103,76,McKittrick Limited,50612,,,,,,,,,,,,,,MCKITTRICK LIMITED,47.49,ngct,NG,GAS,46
104,77,Mid-Set Cogeneration,10501,,,,,,,,,,,,,,MIDSET COGENERATION,52.9,ngct,NG,GAS,39.1
105,78,Midway Sunset Cogen,52169,,,,,,,,,,,,,,Midway Sunset Cogeneration Company,248.0,ngct,NG,GAS,234
106,79,Miramar Energy Facility,56232,,,,,,,,,,,,,,Miramar Energy Facility II,47.9,ngct,NG,GAS,106
107,79,Miramar,305,,,,,,,,,,,,,,Miramar Energy Facility II,47.9,ngct,NG,GAS,49
108,80,Miramar Energy Facility,56232,,,,,,,,,,,,,,MIRAMAR GT PLANT (AGGREGATE),36.0,ngct,NG,GAS,106
109,81,0,0,,,,,,,,,,,,,,MISSIX AREA (SAB FRABCUSCI) LUMPED QF UNITS,1.0,ngcc,,,
110,82,0,0,,,,,,,,,,,,,,MOORE PARK AREA LUMPED UNITS,34.8,ngcc,,,
111,83,Moss Landing,260,,,,,,,,,,,,,,Moss Landing CC Plant 1 (Aggregate),510.0,ngcc,NG,GAS,"3,102.00"
112,84,Moss Landing,260,,,,,,,,,,,,,,Moss Landing CC Plant 2 (Aggregate),510.0,ngcc,NG,GAS,"3,102.00"
