,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
2020-04-29,1.6881666666666668,2.971343537414966,1.6654166666666668,1.7146875,1.6887499999999998,1.6616666666666666,1.6272222222222223,1.7696759259259258,1.7581060580713133,1.9164294765767378,1.772762622079046,1.8102613350363674,1.755921899469068,1.7970225129326947,1.7508279080926894,2.2460627162711533,1.7685974265633302,1.8422117131177997,1.9058981973181548,1.8296232567122679,1.773880553269949,1.8892804364845608,2.2167117910207756,1.8045483432369285,1.8533557023659695,1.766469716282855,1.7666715288724382,1.8076241096371302
2020-04-30,1.6225416666666668,2.9353911564625847,1.5604166666666666,1.6497916666666668,1.5830555555555559,1.5856249999999998,1.5634722222222222,1.7114814814814814,1.6920573143819775,1.8482884155755965,1.703813684778226,1.73107181171076,1.675105617777558,1.7199776235499735,1.6834411864150873,2.1874443447294625,1.702505797537453,1.7692861482945923,1.836756722247409,1.7555359884282775,1.6990324315805752,1.818962766110416,2.1571315941260676,1.7280335726171747,1.7839030343381639,1.7033053538043965,1.6964146234898245,1.7284832824975043
2020-05-01,1.613291666666667,2.796649659863946,1.5675000000000001,1.6415625000000003,1.5730555555555554,1.5979166666666667,1.563888888888889,1.717314814814815,1.690471608676961,1.8205660396273886,1.6998028340498823,1.7148478690145177,1.6702002568613286,1.7085993476689683,1.6695001313161129,2.1259058160505897,1.7010491353255646,1.7502292531336952,1.8139371752932725,1.7371615702999244,1.6923476653299674,1.794019939355519,2.099495832330409,1.715389701786777,1.7618316973772485,1.7042883385873056,1.6921460902575687,1.7132378015179979
2020-05-02,1.6430000000000002,2.6914285714285713,1.51,1.5625,1.49,1.5500000000000003,1.5,1.6555555555555554,1.6292136440678202,1.7740509087076075,1.6387749769292603,1.654906079082481,1.6100270022620171,1.6473630897187324,1.6730146457661736,2.0506977148069634,1.6398403774411312,1.6996741528469572,1.749531891170113,1.6882198784009443,1.6315838560927713,1.742593337340584,2.023757167475615,1.6544011714131521,1.7262379452822851,1.6428595925517542,1.631260601616848,1.651828614070461
2020-05-03,1.6430000000000002,2.6914285714285713,1.51,1.5625,1.49,1.5500000000000003,1.5,1.6555555555555554,1.6292136440678202,1.7740509087076075,1.6387749769292603,1.654906079082481,1.6100270022620171,1.6473630897187324,1.6730146457661736,2.0506977148069634,1.6398403774411312,1.6996741528469572,1.749531891170113,1.6882198784009443,1.6315838560927713,1.742593337340584,2.023757167475615,1.6544011714131521,1.7262379452822851,1.6428595925517542,1.631260601616848,1.651828614070461
2020-05-04,1.6443333333333334,2.7070578231292517,1.5170833333333333,1.5625,1.4954166666666666,1.5535416666666668,1.5048611111111112,1.6617592592592594,1.6348430196794281,1.77931468899456,1.6444142573432108,1.6600738064645784,1.6157347699100717,1.6528501189246738,1.6755913177401118,2.0592752665533194,1.6455854162659587,1.7047139053899871,1.7554760786952155,1.6930832626597192,1.6371530876233993,1.747611730006701,2.0322554480051407,1.6598432573858672,1.730657538072778,1.6487303797969597,1.6368221410314248,1.657096621970085
2020-05-05,1.6775833333333334,3.070629251700681,1.6841666666666666,1.5658333333333334,1.6254166666666665,1.6391666666666667,1.6222222222222225,1.8119444444444446,1.7702922829894001,1.9043706254293546,1.7797664502162798,1.7834650279571371,1.7516831912666497,1.7837719419174405,1.7379462315324576,2.2607285819430314,1.78381283867678,1.8249054564633733,1.896701119222822,1.8091699700787165,1.770248352467683,1.8670895168953345,2.2319909031490566,1.7897106624940953,1.836110862516871,1.7903133516348633,1.7701951236980547,1.7828551421284542
2020-05-06,1.7377083333333334,3.173299319727891,1.7810416666666669,1.6421875,1.7480555555555555,1.7333333333333334,1.7479166666666668,1.9815277777777776,1.9060398677386348,1.997212685407491,1.9084669944196446,1.8876460632320426,1.8589600093207377,1.8921703838832284,1.8097608332550137,2.3598588984560505,1.9222578424027197,1.9236446508257183,2.0009605167469697,1.9067387826361581,1.8847837920912611,1.9611766067967296,2.333259499260247,1.8976551936622321,1.924381152760415,1.9389745691498745,1.894636612690999,1.8883987638912327
2020-05-07,1.749875,3.3598469387755108,1.8004166666666668,1.6340625,1.7006944444444443,1.6927083333333335,1.6970833333333335,1.910324074074074,1.8645804784944313,2.018630560584257,1.8767853317384888,1.8822577961624978,1.8523977976219985,1.8848967346310563,1.8221590266193093,2.4296753733149727,1.8803670614169725,1.9284312930360836,2.010292574143162,1.9102316838361133,1.8690100584102127,1.9766691442166595,2.396578760348786,1.8909252463230737,1.9392708514659314,1.8868383157555795,1.8661908789906363,1.8821522527650703
2020-05-08,1.6600416666666664,3.1983843537414955,1.6929166666666666,1.6171875,1.6408333333333334,1.6410416666666667,1.6302777777777777,1.8148611111111113,1.7813958881914724,1.9325780321794603,1.7935653798481952,1.8061937517299989,1.768656172287371,1.8049597434603553,1.7348145689011092,2.325199325786635,1.794798670377171,1.8474945788150217,1.929076617728891,1.8303232733783426,1.7875621272763604,1.896028221073951,2.2936229670943207,1.8115605269980073,1.855675863700835,1.798545457237161,1.7845486003962416,1.805702663571799
