EIA_ID,plant,state,bal_auth,Latitude,Longitude,bus
6430,Cedar Falls,WA,SCL,47.4193,-121.781858,10867
6431,Gorge,WA,SCL,48.698056,-121.208611,10771
6432,Diablo,WA,SCL,48.713853,-121.131736,10806
6433,Boundary,WA,SCL,48.987111,-117.347847,11041
6479,San Francisquito 1,CA,LDWP,34.590183,-118.454676,25944
6480,San Francisquito 2,CA,LDWP,34.534337,-118.525113,26226
6484,Bend,OR,PACW,44.062326,-121.313331,13528
6505,Oak Grove,OR,PGE,45.122009,-122.06987,13577
6506,Moyie Springs,ID,BPAT,48.7339,-116.1752,74266
6612,Union Valley,CA,BANC,38.86429,-120.444335,20347
6623,Fort Peck,MT,WAUW,48.0122,-106.4123,77243
7072,Mojave Siphon,CA,CISO,34.307444,-117.323548,28896
7079,Upper Salmon B,ID,IPCO,42.766397,-114.908236,74332
7113,Potholes East Canal Headworks,WA,GCPD,47.159553,-119.896306,10727
7127,Wynoochee,WA,TPWR,47.385072,-123.605225,11009
7151,Stony Gorge,CA,CISO,39.586864,-122.533248,20299
7179,Headgate Rock,AZ,WALC,34.168264,-114.277356,28992
7189,Whiskeytown,CA,WALC,40.597617,-122.538683,20483
7190,Milner Hydro,ID,IPCO,42.526786,-114.036889,74324
7233,Tesla,CO,WACM,38.973655,-104.901141,60763
7317,Buffalo Bill,WY,WAUW,44.508169,-109.170661,77213
7372,McPhee,CO,WACM,37.57522,-108.574002,60735
7373,Towaoc,CO,WACM,37.429538,-108.574871,53215
7427,Cowlitz Falls,WA,BPAT,46.4661,-122.1097,10694
7508,Stone Creek,OR,PGE,45.081111,-121.886611,13578
7511,McNary Fish,WA,BPAT,45.940034,-119.299078,13475
7541,Spirit Mountain,WY,WAUW,44.512699,-109.129878,77213
7588,Jackson,WA,BPAT,47.9084,-121.8144,10728
7593,El Vado Dam,NM,WACM,36.592775,-106.73213,53224
7789,Abiquiu Dam,NM,WACM,36.239886,-106.423043,53248
7907,Pine Flat,CA,CISO,36.8326,-119.327,23436
8902,Hoover Dam (AZ),AZ,WALC,36.01551,-114.738006,30451
9095,Monroe Street,WA,AVA,47.653611,-117.420556,10778
9096,Upper Falls,WA,AVA,47.654444,-117.418889,10778
10014,Lucky Peak,ID,IPCO,43.528,-116.0583,74220
10070,Foothills Hydro Plant,CO,WACM,39.4588,-105.0657,60841
10081,Strontia Springs Hydro Plant,CO,PSCO,39.4326,-105.1263,60841
10421,Dillon Hydro Plant,CO,PSCO,39.6208,-106.0662,60799
10422,Williams Fork Hydro Plant,CO,WACM,40.035,-106.2053,60798
10458,Muck Valley Hydroelectric,CA,CISO,40.976389,-121.255833,20526
10707,Cove Hydroelectric,CA,CISO,40.8713,-121.9487,20370
10735,Barber Dam,ID,IPCO,43.561001,-116.121269,74220
10740,Magic Dam Hydroelectric Project,ID,IPCO,43.2547,-114.3569,74200
10882,Hatchet Creek Project,CA,CISO,40.874144,-121.920428,20370
50179,Lake Siskiyou,CA,PACW,41.2792,-122.3292,20536
50180,Olsen,CA,CISO,40.670536,-121.890645,20371
