ORISPL,PNAME,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
58277,Paia Hydroelectric Plant,,,,,,,,
56378,Pakini Nui Wind Farm,,,,,,,,
792,Palaau Power,524,47,"26,602",431,32.825,2.960,"1,667.038",0.014
58676,Pearl City Peninsula Solar Park,,,,,,,,
6474,Port Allen (HI),"1,634",165,"88,024","1,463",30.025,3.041,"1,617.736",0.013
58549,Port Allen Solar,,,,,,,,
7130,Puna,164,207,"47,030",762,8.158,10.299,"2,338.623",0.019
52028,Puna Geothermal Venture I,0,0,0,,0.000,0.000,0.000,
771,Puueo,,,,,,,,
60328,Schofield Generating Station,442,1,0,380,28.317,0.057,0.000,0.012
6478,Shipman,,,,,,,,
10093,Tesoro Hawaii,294,86,"68,019","6,589",3.832,1.116,886.366,0.043
772,W H Hill,335,951,"174,855","2,835",4.188,11.877,"2,183.751",0.018
766,Waiau,"1,491","4,845","908,109","14,722",3.030,9.849,"1,845.946",0.015
774,Waiau Hydro,,,,,,,,
58655,Waihonu North Solar,,,,,,,,
58656,Waihonu South Solar,,,,,,,,
54827,Wailuku River Hydroelectric,,,,,,,,
768,Waimea,16,1,808,13,34.485,3.136,"1,765.882",0.014
10413,Wainiha Hydro,,,,,,,,
60024,Waipio Solar,,,,,,,,
61987,West Loch Solar One,,,,,,,,
56810,Adair Wind Farm,,,,,,,,
59637,Adams Wind,,,,,,,,
7706,Agency GT,,,,,,,,
59181,AgriReNew,9,0,0,9,3.075,0.043,0.000,0.002
1120,Algona,2,0,95,2,31.816,3.070,"1,747.122",0.014
56215,Allendorf,,,,,,,,
54714,Alliant SBD 8501 Aegon LI,,,,,,,,
54720,Alliant SBD 8601 Quad Graphics,,,,,,,,
54716,Alliant SBD 8602 Marion Sub,1,0,27,0,49.759,4.577,"2,579.328",0.021
54713,Alliant SBD 8603 Donnelley,,,,,,,,
54717,Alliant SBD 9106 Rockwell CR,5,1,281,5,48.447,4.437,"2,496.273",0.020
54715,Alliant SBD 9107 JBS USA,1,0,75,1,55.218,5.061,"2,845.535",0.023
54712,Alliant SBD 9201 Norplex,3,0,138,2,49.182,4.497,"2,532.929",0.021
54719,Alliant SBD 9203 Profol,4,0,205,3,33.930,3.272,"1,843.531",0.015
54710,Alliant SBD 9205 A Y McDonald,0,0,19,0,48.163,4.476,"2,522.177",0.020
54718,Alliant SBD 9206 Donaldson,0,0,7,0,44.218,4.150,"2,333.333",0.019
54735,Alliant SBD 9301 Prairie Farms,1,0,74,1,48.810,4.463,"2,513.776",0.020
54967,Alliant SBD 9302 Aegon NP,0,0,2,0,47.959,4.286,"2,416.327",0.020
54930,Alliant SBD 9402 Climax,,,,,,,,
54929,Alliant SBD 9403 Aegon DC,0,0,23,0,49.657,4.558,"2,573.890",0.021
54968,Alliant SBD 9502 Eaton,5,0,235,4,95.936,8.785,"4,946.158",0.040
55315,Alliant SBD 9702 Cedar Graphics,,,,,,,,
56072,Alliant SBD 9801 Aegon Martha's Way,,,,,,,,
56074,Alliant SBD 9901 Wells Fargo,0,0,2,0,75.510,7.143,"4,000.000",0.032
55996,Alliant SBD0201 Ingredion,1,0,36,1,48.559,4.434,"2,500.018",0.020
56073,Alliant SBG 9802 Toyota,0,0,4,0,25.510,0.026,"1,073.469",0.002
1121,Alta Municipal Utilities,0,0,16,0,70.444,6.489,"3,647.778",0.030
61850,Amana Society Service Company,46,4,"2,420",39,34.177,3.190,"1,796.887",0.015
1122,Ames,147,10,"126,860","2,422",1.576,0.103,"1,363.621",0.013
1052,Ames Diesel Generating Station,,,,,,,,
58044,"Anchor Wind, LLC",,,,,,,,
56138,Anderson Erickson,0,0,6,0,28.000,2.600,"1,470.000",0.012
1123,Anita,1,0,51,1,35.034,3.110,"1,754.379",0.014
62796,Arbor Hill II,,,,,,,,
62132,Arbor Hill Wind Farm,,,,,,,,
10864,Archer Daniels Midland Cedar Rapids,294,417,"556,403","17,238",0.579,0.820,"1,094.515",0.017
10860,Archer Daniels Midland Clinton,297,"1,209","466,307","17,283",0.768,3.127,"1,206.086",0.022
10861,Archer Daniels Midland Des Moines,22,43,"16,346",539,1.648,3.231,"1,234.054",0.020
1124,Atlantic,0,0,111,1,3.972,0.041,"1,562.366",0.004
61644,August Wind Farm,,,,,,,,
1125,Bancroft,,,,,,,,
56765,Barton Windpower LLC,,,,,,,,
62134,Beaver Creek II Wind,,,,,,,,
61079,Beaver Creek Wind,,,,,,,,
1126,Bellevue,16,1,803,13,33.983,3.001,"1,689.994",0.014
62172,Birch,,,,,,,,
1127,Bloomfield,2,0,104,1,36.320,1.876,"1,585.060",0.010
62607,Bloomfield Municipal Utilities Solar,,,,,,,,
1128,Brooklyn,0,0,4,0,37.500,3.350,"1,878.000",0.015
7922,Brooklyn City North Plant,,,,,,,,
58038,Buffalo Center Wind LLC,,,,,,,,
57632,Bulldog,,,,,,,,
1104,Burlington (IA),960,"3,324","1,404,648","44,141",1.610,5.575,"2,355.383",0.037
10855,Cargill Corn Milling Division,20,1,"25,623",97,0.503,0.018,653.796,0.001
59071,Carroll Area Wind Farm,,,,,,,,
56809,Carroll Wind Farm,,,,,,,,
1129,Cascade,0,0,15,0,27.468,2.387,"1,949.197",0.012
62321,Cedar Falls Solar Farm,,,,,,,,
1105,Centerville,,,,,,,,
56252,Century,,,,,,,,
56677,Charles City Wind Farm,,,,,,,,
1132,Coggon,1,0,30,0,33.879,3.279,"1,846.061",0.015
7847,Coon Rapids II,1,0,64,1,35.408,3.194,"1,801.158",0.015
1079,Coralville GT,4,0,"1,508",6,28.782,0.304,"11,129.476",0.021
1134,Corning,0,0,19,0,35.621,3.200,"1,796.657",0.015
56831,Crane Creek Wind Energy Center,,,,,,,,
56859,Crosswind Energy Project,,,,,,,,
57468,Crystal Lake 3 LLC,,,,,,,,
58456,Cumberland Rose,,,,,,,,
55035,Davenport Water Pollution Control Plant,95,0,203,11,23.727,0.035,50.467,0.001
1135,Dayton (IA),0,0,4,0,25.000,2.233,"1,252.000",0.010
6463,Dayton Avenue Substation,1,0,403,8,26.512,6.047,"18,730.233",0.187
50932,Des Moines Wastewater Reclamation Fac,150,0,11,17,21.017,0.034,1.480,0.001
56194,Dike City Power Plant,0,0,6,0,30.250,2.800,"1,572.000",0.013
1060,Duane Arnold Energy Center,,,,,,,,
1046,Dubuque,,,,,,,,
6220,Durant,1,0,33,1,34.118,3.082,"1,734.956",0.014
1217,Earl F Wisdom,7,0,"19,250",73,0.653,0.009,"1,757.867",0.003
7865,Earlville,1,0,30,0,27.952,2.533,"1,427.143",0.012
60876,Eastern Iowa Solar,,,,,,,,
57873,Eclipse Wind Farm,,,,,,,,
6063,Electrifarm,19,0,"7,324",28,6.764,0.011,"2,645.138",0.005
57417,Elk Wind Farm,,,,,,,,
8031,Emery Station,78,6,"1,233,640","3,704",0.064,0.005,"1,008.146",0.002
61565,English Farms,,,,,,,,
1137,Estherville,1,0,22,0,26.000,2.409,"1,009.953",0.011
56013,Exira Station,42,0,"53,872",199,1.001,0.010,"1,278.135",0.002
1218,Fair Station,,,,,,,,
62461,Farmers Electric Cooperative - Kalona,,,,,,,,
56172,Flying Cloud Power Partners LLC,,,,,,,,
58457,Fontanelle,,,,,,,,
1138,Forest City Light Plant,4,0,216,3,32.280,3.064,"1,726.017",0.014
62861,Forest City Solar,,,,,,,,
56925,FPL Energy Crystal Lake Wind II LLC,,,,,,,,
56923,FPL Energy Crystal Lake Wind LLC,,,,,,,,
56924,FPL Energy Story Wind LLC,,,,,,,,
57844,Franklin County Wind Farm,,,,,,,,
57469,Garden Wind LLC,,,,,,,,
1130,Gas Turbine (IA),2,0,576,2,0.000,0.000,0.000,0.000
1091,George Neal North,"2,498","4,336","2,653,871","82,214",2.193,3.807,"2,330.041",0.036
7343,George Neal South,"2,610","5,341","3,122,837","106,505",1.689,3.456,"2,020.866",0.034
7857,Gilliam South,0,0,10,0,39.200,3.640,"2,057.800",0.017
62035,Glaciers Edge Wind Project,,,,,,,,
62081,Golden Plains,,,,,,,,
61632,"Golden Renewable Energy, LLC",9,0,"3,653",14,2.699,0.029,"1,050.139",0.002
1141,Gowrie,0,0,5,0,46.500,4.150,"2,327.500",0.019
1142,Graettinger,1,0,41,1,37.256,3.419,"1,925.721",0.016
1143,Grand Junction,0,0,12,0,40.333,3.500,"1,973.500",0.016
7985,Greater Des Moines Energy Center,20,1,"279,835","1,071",0.063,0.004,875.923,0.002
60911,Green Energy Machine,,,,,,,,
1144,Greenfield,0,0,7,0,31.111,2.911,"1,633.333",0.013
58458,Greenfield Wind,,,,,,,,
7137,Grinnell,,,,,,,,
1145,Grundy Center City Light Plant,1,0,69,1,27.755,2.504,"1,409.939",0.011
56010,Hancock County Wind Energy Center,,,,,,,,
56860,Hardin Hilltop Wind LLC,,,,,,,,
1146,Harlan,,,,,,,,
55816,Hawkeye Power Partners LLC,,,,,,,,
57832,Hawkeye Wind Farm,,,,,,,,
61609,"Heartland Divide Wind Project, LLC",,,,,,,,
58883,Highland Wind Project (IA),,,,,,,,
8108,Hopkinton,0,0,16,0,32.421,2.916,"1,641.895",0.013
62795,Ida Grove II,,,,,,,,
60342,Ida Grove Wind,,,,,,,,
1150,Indianola,3,2,620,10,142.596,81.519,"26,364.936",0.214
56251,Intrepid,,,,,,,,
7966,Iowa Distributed Wind Generation Project,,,,,,,,
1067,Iowa Hydro LLC,,,,,,,,
57257,Iowa Lakes Community College Wind Farm,,,,,,,,
57252,Iowa Lakes Superior Wind Farm,,,,,,,,
54201,Iowa State University,25,71,"50,168","1,189",0.455,1.306,924.903,0.011
61911,Ivester Wind Farm,,,,,,,,
54414,John Deere Dubuque Works,3,0,152,2,222.611,19.637,"11,071.507",0.090
58444,Junction Hilltop Wind Farm,,,,,,,,
1109,Keokuk,,,,,,,,
59735,Kirkwood Wind Turbine,,,,,,,,
62569,Knoxville Battery Energy Storage,,,,,,,,
7849,Knoxville Industrial,1,0,58,1,33.855,2.991,"1,689.971",0.014
62103,Kossuth,,,,,,,,
1156,La Porte,1,0,69,1,32.843,3.221,"1,815.971",0.015
1154,Lake Mills,1,0,62,1,26.250,2.434,"1,404.977",0.011
56521,Lake Mills Gas Recovery,0,4,0,0,0.000,0.397,0.000,0.000
1153,Lake Park,1,0,54,1,39.333,3.526,"1,987.111",0.016
57251,Lakota Wind Wind Farm,,,,,,,,
1155,Lamoni Municipal Utilities,1,0,65,1,36.521,3.336,"1,877.016",0.015
1047,Lansing,242,303,"1,150,550","36,030",0.547,0.686,"2,605.556",0.041
57500,Laurel Wind Farm,,,,,,,,
1157,Laurens,2,0,80,1,31.796,2.898,"1,629.915",0.013
1158,Lenox,1,0,67,1,41.333,3.983,"2,242.967",0.018
59228,Leonardo Wind 1 LLC,,,,,,,,
7155,Lime Creek,5,0,"2,816",40,5.767,0.098,"3,052.575",0.022
57111,Lost Lakes Wind Farm LLC,,,,,,,,
6664,Louisa,"4,871","7,332","5,425,216","181,227",1.997,3.005,"2,223.905",0.037
58884,Lundgren Wind Project,,,,,,,,
58407,Luther College Wind Project,,,,,,,,
58885,Macksburg Wind Project,,,,,,,,
1160,Manning,2,0,82,1,0.000,0.000,0.000,0.000
1162,Maquoketa 1,2,0,91,2,0.000,0.000,0.000,0.000
7921,Maquoketa 2,0,0,0,0,0.000,0.000,0.000,0.000
1068,Marshalltown CTs,49,0,"22,983",62,3.161,0.007,"1,491.964",0.002
58236,Marshalltown Generating Station,54,7,"1,346,851","4,714",0.036,0.004,889.356,0.002
1163,McGregor,0,0,8,0,37.000,3.450,"1,939.500",0.016
58459,Meadow Ridge,,,,,,,,
1097,Merl Parr,2,0,609,2,29.509,0.313,"11,481.585",0.022
54700,Metro Methane Recovery Facility,0,18,0,0,0.000,0.389,0.000,0.000
59231,Michelangelo Wind 1 LLC,,,,,,,,
59053,Michelangelo Wind 3 LLC,,,,,,,,
59232,Michelangelo Wind 4 LLC,,,,,,,,
1164,Milford,1,0,49,1,31.999,3.082,"1,735.362",0.014
1048,Milton L Kapp,1,0,"1,941",7,9.109,0.066,"12,813.201",0.023
1165,Montezuma,3,0,155,2,34.379,2.018,"1,629.728",0.010
57875,Morning Light Wind Farm,,,,,,,,
1166,Mt Pleasant,5,0,228,4,31.126,2.760,"1,554.081",0.013
1167,Muscatine,906,556,"545,544","17,476",2.053,1.259,"1,235.661",0.020
58265,NCAH Central Utility Plant,18,0,"6,775",26,1.593,0.020,605.370,0.001
1168,New Hampton,7,0,313,4,30.364,1.866,"1,356.392",0.009
57609,New Harvest Wind Project LLC,,,,,,,,
58414,NLMU Wind,,,,,,,,
7856,North,1,0,64,1,31.740,2.956,"1,667.169",0.014
62133,North English,,,,,,,,
62608,North English II,,,,,,,,
56383,Northern Iowa Windpower II,,,,,,,,
57672,Oakdale Renewable Energy Plant,19,0,843,3,27.611,0.034,"1,232.245",0.002
60326,O'Brien Wind,,,,,,,,
1169,Ogden,1,0,37,1,52.643,4.743,"2,671.500",0.022
59227,Optimum Wind 3 LLC,,,,,,,,
59226,Optimum Wind 4 LLC,,,,,,,,
59223,Optimum Wind 5 LLC,,,,,,,,
59224,Optimum Wind 6 LLC,,,,,,,,
59225,Optimum Wind 7 LLC,,,,,,,,
61077,Orient Wind Farm,,,,,,,,
1172,Osage (IA),1,0,59,1,0.469,0.018,23.159,0.000
56913,Osceola Windpower II,,,,,,,,
56645,Osceola Windpower LLC,,,,,,,,
58138,Otter Creek Ethanol Poet - Ashton,37,0,"14,226",54,1.622,0.017,627.684,0.001
6254,Ottumwa,"2,929","1,308","4,422,923","135,054",1.568,0.700,"2,367.864",0.036
1173,Ottumwa City of,,,,,,,,
7584,Panora,1,0,69,1,32.744,3.156,"1,777.744",0.014
1175,Pella,,,,,,,,
7971,Pella Peaking,6,1,301,5,34.670,3.146,"1,773.038",0.014
56797,Pioneer Prairie Wind Farm,,,,,,,,
7145,Pleasant Hill Energy Center,20,0,"12,672",52,3.061,0.011,"1,968.932",0.004
61078,Plum Creek Wind,,,,,,,,
57976,Pocahontas Prairie Wind Farm,,,,,,,,
56501,Pomeroy Wind Farm,,,,,,,,
1073,Prairie Creek,187,211,"124,053","2,058",2.863,3.226,"1,898.664",0.016
60873,Prairie Wind Farm,,,,,,,,
1176,Preston (IA),,,,,,,,
1177,Primghar,,,,,,,,
7595,Red Cedar,0,0,0,0,0.000,0.000,0.000,0.000
58434,Red Rock Hydro Plant,,,,,,,,
62080,Richland,,,,,,,,
57830,Rippey Wind Farm,,,,,,,,
1084,River Hills,2,0,958,4,0.000,0.000,0.000,0.000
1081,Riverside (1081),3,0,"2,351",21,0.000,0.000,0.000,0.000
1181,Rock Rapids,0,0,16,0,34.222,3.078,"1,733.111",0.014
1180,Rockford,0,0,20,0,36.249,3.382,"1,904.568",0.015
58089,Roeder Family Wind Farm LLC,,,,,,,,
57501,Rolling Hills Wind Farm,,,,,,,,
57953,Roquette America,86,10,"81,538","1,166",1.020,0.116,962.350,0.007
62130,Roseman,,,,,,,,
61070,Saratoga Wind Farm,,,,,,,,
7850,Shenandoah,3,0,131,2,33.896,3.013,"1,696.883",0.014
7060,Sibley No Two,0,0,18,0,44.762,0.054,"2,417.279",0.010
1184,Sibley One,1,0,87,1,10.255,0.011,"1,231.064",0.010
1058,Sixth Street,,,,,,,,
58460,Sky Volt,,,,,,,,
7758,South Plant,1,0,61,1,31.520,2.896,"1,628.960",0.013
7926,South Strawberry,0,0,11,0,32.923,2.892,"1,620.615",0.013
1186,Spencer Gas Turbine,2,1,291,5,16.529,9.370,"3,076.286",0.025
1187,State Center,1,0,137,1,21.000,2.022,"2,171.206",0.011
54793,Storm Lake 1,,,,,,,,
55287,Storm Lake II,,,,,,,,
1188,Story City,5,0,235,4,35.094,3.152,"1,775.010",0.014
58927,Story City Wind Project,,,,,,,,
1189,Strawberry Point,,,,,,,,
60955,Strawberry Point DPC Solar,,,,,,,,
1131,Streeter Station,9,0,"3,639",30,6.688,0.106,"2,577.896",0.011
1190,Stuart (IA),0,0,2,0,25.325,2.399,"1,360.213",0.011
1206,Summit Lake,47,0,"8,316",34,9.229,0.033,"1,623.224",0.003
1191,Sumner,2,0,88,1,43.568,4.203,"2,368.243",0.019
1077,Sutherland,,,,,,,,
8029,Sycamore Combustion Turbine,16,0,"6,498",25,6.722,0.178,"2,814.399",0.006
8106,Tipton,1,0,43,1,28.985,2.418,"1,269.104",0.011
55804,Top of Iowa Windfarm,,,,,,,,
56386,Top of Iowa Windfarm III,,,,,,,,
56025,Traer East,0,0,20,0,0.000,0.000,0.000,0.000
1192,Traer Main,0,0,58,0,26.857,2.429,"16,449.143",0.031
7920,Traer South,1,0,40,1,0.000,0.000,0.000,0.000
58932,Traer Wind Project,,,,,,,,
61638,Turtle Creek Wind Farm LLC,,,,,,,,
54775,University of Iowa Main Power Plant,26,88,"14,966","1,432",0.909,3.089,526.828,0.025
50088,University of Northern Iowa,16,38,"8,067",156,2.760,6.364,"1,349.931",0.013
61564,Upland Prairie,,,,,,,,
59230,Venus Wind 3 LLC,,,,,,,,
56379,Victory Wind Farm,,,,,,,,
57874,Vienna Wind Farm,,,,,,,,
1193,Villisca Municipal Power Plant,0,0,10,0,32.667,2.867,"1,619.667",0.013
1194,Vinton,2,0,691,4,0.000,0.000,0.000,0.000
56811,Walnut Wind Farm,,,,,,,,
1082,Walter Scott Jr. Energy Center,"6,675","9,865","10,566,139","344,463",1.330,1.965,"2,104.837",0.034
59379,Wapsie Valley Creamery Back Up Generator,,,,,,,,
61071,Washburn Wind Farm,,,,,,,,
7851,Waterloo Lundquist,3,0,140,2,32.737,2.905,"1,637.053",0.013
57214,Waverly Community Wind Project,,,,,,,,
6554,Waverly Municipal Electric North Plant,5,0,226,2,30.234,1.533,"1,466.909",0.008
1198,Webster City,1,1,242,4,13.103,7.376,"2,385.517",0.019
58886,Wellsburg Wind Project,,,,,,,,
1199,West Bend,1,0,42,1,46.909,4.527,"2,548.909",0.021
56517,West Diesel Generation Unit,0,0,1,0,56.000,5.200,"2,940.000",0.024
60951,West Dubuque Solar,,,,,,,,
1200,West Liberty,1,0,125,2,15.304,5.989,"2,226.768",0.017
61057,West Liberty Wind Farm,,,,,,,,
7853,West Receiving,0,0,7,0,32.500,3.050,"1,715.000",0.014
62079,Whispering Willow North,,,,,,,,
56355,Whispering Willow Wind Farm - East,,,,,,,,
1201,Whittemore,,,,,,,,
1202,Wilton,1,0,25,0,31.727,2.740,"1,540.479",0.012
60541,Wind GEM,,,,,,,,
58071,Windwalkers LLC,,,,,,,,
56764,Winnebago Wind Power Project,,,,,,,,
1203,Winterset,1,0,76,1,19.692,1.750,"2,927.346",0.011
58461,Wiota,,,,,,,,
57631,Wolverine,,,,,,,,
851,Albeni Falls,,,,,,,,
54690,Amalgamated Sugar LLC Nampa,14,0,"10,489",40,0.905,0.018,658.078,0.001
10504,Amalgamated Sugar Twin Falls,38,180,"20,423",414,1.581,7.541,857.352,0.009
809,American Falls,,,,,,,,
60011,American Falls Solar,,,,,,,,
60012,American Falls Solar II,,,,,,,,
6395,Anderson Ranch,,,,,,,,
56997,Arrowrock Hydroelectric Project,,,,,,,,
825,Ashton,,,,,,,,
59529,Bannock County LFG to Energy,0,2,0,0,0.000,0.342,0.000,0.000
10735,Barber Dam,,,,,,,,
56637,Bennett Creek Windfarm LLC - Mountain Home,,,,,,,,
55733,Bennett Mountain Power Project,66,0,"97,930",359,0.889,0.007,"1,313.107",0.002
57393,Big Sky Dairy Digester,138,0,0,14,31.223,0.044,0.000,0.002
10140,Birch Creek Power,,,,,,,,
6396,Black Canyon,,,,,,,,
54514,Blind Canyon Hydro,,,,,,,,
810,Bliss,,,,,,,,
6397,Boise R Diversion,,,,,,,,
811,Brownlee,,,,,,,,
56434,Burley Butte Windpark,,,,,,,,
50895,Bypass,,,,,,,,
59496,BYUI Central Energy Facility,31,0,"11,858",45,1.600,0.016,602.442,0.001
812,C J Strike,,,,,,,,
833,Cabinet Gorge,,,,,,,,
57125,Camp Reed,,,,,,,,
57343,Cargill B6 Biofactory,150,0,0,16,28.466,0.042,0.000,0.001
57344,Cargill Dry Creek Biofactory,154,0,0,15,28.899,0.039,0.000,0.001
60896,"Carter Solar One, LLC",,,,,,,,
813,Cascade Dam,,,,,,,,
56935,Cassia Gulch,,,,,,,,
56934,Cassia Wind,,,,,,,,
56893,Chester Diversion Hydroelectric Project,,,,,,,,
841,City Power Plant,,,,,,,,
814,Clear Lake,,,,,,,,
50637,Clearwater Paper IPP Lewiston,166,428,"10,389","10,635",0.901,2.321,56.389,0.029
62151,Clif Bar Bakery of Twin Falls,,,,,,,,
57431,Cold Springs Windfarm,,,,,,,,
826,Cove,,,,,,,,
10806,Crystal Springs,,,,,,,,
57430,Desert Meadow Windfarm,,,,,,,,
10807,Dietrich Drop,,,,,,,,
57425,Double A Digester,334,0,0,33,30.360,0.042,0.000,0.002
54394,Dry Creek Project,,,,,,,,
840,Dworshak,,,,,,,,
50891,El Dorado Hydro Elk Creek,,,,,,,,
7953,Evander Andrews Power Complex,26,0,"82,049",300,0.415,0.006,"1,285.556",0.002
54668,Falls River Hydro,,,,,,,,
58384,Fargo Drop,,,,,,,,
6359,Felt,,,,,,,,
57902,Fighting Creek LFGTE Plant,0,3,0,0,0.000,0.368,0.000,0.000
54674,Ford Hydro LP,,,,,,,,
56308,Fossil Gulch,,,,,,,,
790,Gem State,,,,,,,,
56435,Golden Valley Wind Park LLC,,,,,,,,
57211,Goshen Phase II,,,,,,,,
827,Grace,,,,,,,,
60068,Grand View Solar Two,,,,,,,,
57428,Hammett Hill Windfarm,,,,,,,,
54558,Hazelton B Hydro,,,,,,,,
61217,Head of U Canal Hydro Project,,,,,,,,
57861,Hidden Hollow Energy,0,1,0,0,0.000,0.355,0.000,0.000
58019,High Mesa,,,,,,,,
57890,"Horse Butte Wind I, LLC",,,,,,,,
54524,Horseshoe Bend Hydroelectric Co,,,,,,,,
60445,ID Solar,,,,,,,,
4204,Island Park,,,,,,,,
60899,"Jackpot Solar East, LLC",,,,,,,,
60897,"Jackpot Solar North, LLC",,,,,,,,
60898,"Jackpot Solar South, LLC",,,,,,,,
60900,"Jackpot Solar West, LLC",,,,,,,,
55007,K W Company,,,,,,,,
57345,"Kettle Butte Digester, LLC",89,0,0,9,26.106,0.038,0.000,0.001
10781,Koyle Ranch Hydroelectric Project,,,,,,,,
57028,Langley Gulch Power Plant,27,2,"466,583","1,744",0.048,0.004,824.932,0.002
987,Last Chance,,,,,,,,
54753,Lateral 10 Ventures,,,,,,,,
10049,Little Mac Project,,,,,,,,
54386,Little Wood Hydro Project,,,,,,,,
10808,Low Line Rapids,,,,,,,,
815,Lower Malad,,,,,,,,
7012,Lower No 1,,,,,,,,
843,Lower No 2,,,,,,,,
816,Lower Salmon,,,,,,,,
10014,Lucky Peak Power Plant Project,,,,,,,,
10740,Magic Dam Hydroelectric Project,,,,,,,,
57429,Mainline Windfarm,,,,,,,,
50323,Marco Ranch,,,,,,,,
50972,Marsh Valley Development,,,,,,,,
58106,Meadow Creek Project Company,,,,,,,,
54812,Mile 28 Water Power Project,,,,,,,,
56437,Milner Dam Wind Park LLC,,,,,,,,
7190,Milner Hydro,,,,,,,,
6398,Minidoka,,,,,,,,
10325,Mink Creek Hydro,,,,,,,,
56498,Mora Drop Hydroelectric Project,,,,,,,,
56636,Mountain Home,,,,,,,,
6506,Moyie Springs,,,,,,,,
59695,"Mt. Home Solar 1, LLC",,,,,,,,
60009,Murphy Flat Solar,,,,,,,,
61688,North Gooding Main Hydro,,,,,,,,
50718,Notch Butte Hydro,,,,,,,,
829,Oneida,,,,,,,,
60010,Orchard Ranch Solar,,,,,,,,
56439,Oregon Trail Wind Park,,,,,,,,
850,Palisades Dam,,,,,,,,
57124,Payne's Ferry,,,,,,,,
56440,Pilgrim Stage Wind Park,,,,,,,,
55090,Plummer Cogen,12,2,0,"1,726",0.702,0.140,0.000,0.052
835,Post Falls,,,,,,,,
57761,Power County Wind Park North,,,,,,,,
57760,Power County Wind Park South,,,,,,,,
56317,Raft River Geothermal Power Plant,0,0,0,,0.000,0.000,0.000,
7456,Rathdrum Combustion Turbine Project,27,0,"86,935",387,0.370,0.006,"1,198.497",0.003
55179,"Rathdrum Power, LLC",73,3,"668,953","2,550",0.092,0.004,839.436,0.002
58142,Rock Creek Dairy,210,0,0,20,70.705,0.094,0.000,0.003
50987,Rock Creek I,,,,,,,,
10809,Rock Creek II,,,,,,,,
57766,Rockland Wind Farm,,,,,,,,
57427,Ryegrass Windfarm,,,,,,,,
50896,S E Hazelton A,,,,,,,,
817,Salmon Diesel,1,0,37,1,39.333,3.600,"2,028.000",0.016
56441,Salmon Falls Wind Park,,,,,,,,
57749,Sawtooth Wind Project,,,,,,,,
818,Shoshone Falls,,,,,,,,
60748,Simcoe Solar,,,,,,,,
50274,Simplot Leasing Don Plant,,,,0,,,,0.000
54249,Smith Falls Hydro Project,,,,,,,,
831,Soda,,,,,,,,
10296,South Forks Hydro,,,,,,,,
819,Swan Falls,,,,,,,,
50099,Tamarack Energy Partnership,17,2,0,"1,349",1.323,0.141,0.000,0.052
820,Thousand Springs,,,,,,,,
56442,Thousand Springs Wind Park,,,,,,,,
56443,Tuana Gulch Wind Park,,,,,,,,
57136,Tuana Springs,,,,,,,,
821,Twin Falls (ID),,,,,,,,
57444,Two Ponds Windfarm,,,,,,,,
61075,UAMPS Carbon Free Power Plant,,,,,,,,
823,Upper Malad,,,,,,,,
844,Upper Power Plant,,,,,,,,
822,Upper Salmon A,,,,,,,,
7079,Upper Salmon B,,,,,,,,
54306,Wilson Lake Hydroelectric Project,,,,,,,,
56301,Wolverine Creek,,,,,,,,
57126,Yahoo Creek,,,,,,,,
7770,1515 S Caron Road,1,0,229,1,4.382,0.046,"1,681.140",0.003
58136,Adkins Energy LLC,22,0,"8,376",32,1.585,0.017,606.661,0.001
56408,Agriwind,,,,,,,,
7818,Alsey Station,11,0,"12,123",53,1.011,0.006,"1,150.991",0.003
7990,Altamont,1,0,61,1,33.667,3.022,"1,699.000",0.014
10865,Archer Daniels Midland Co.,364,"16,756","727,240","26,631",0.546,25.150,"1,091.594",0.020
10866,Archer Daniels Midland Co. - Peoria,5,1,"30,186",208,0.058,0.009,327.830,0.001
54312,Archer Daniels Midland Taylorville,,,,,,,,
60742,Argonne National Laboratory CHP,12,0,"4,725",18,3.240,0.034,"1,242.503",0.002
55279,Aurora,198,2,"422,311","1,565",0.585,0.006,"1,246.074",0.002
7854,Avenue A Generator Sets,3,0,159,3,21.793,1.950,"1,098.786",0.009
55768,Avon Energy Partners LLC,,,,,,,,
889,Baldwin Energy Complex,"3,217","3,002","7,810,236","261,460",0.893,0.833,"2,166.686",0.036
56419,Beecher Gas Recovery,0,3,0,0,0.000,0.352,0.000,0.000
57135,Big Sky Wind LLC,,,,,,,,
57463,Bishop Hill Energy LLC,,,,,,,,
58111,Bishop Hill II Wind Farm,,,,,,,,
61787,Bishop Hill III,,,,,,,,
57113,Blackstone Wind Farm II LLC,,,,,,,,
57110,Blackstone Wind Farm LLC,,,,,,,,
865,Bloom,,,,,,,,
50722,BP Naperville Cogeneration Facility,51,1,"19,190",72,1.765,0.018,669.045,0.001
6022,Braidwood Generation Station,,,,,,,,
934,Breese,5,0,269,4,36.382,3.510,"1,977.309",0.016
55762,Brickyard Energy Partners LLC,,,,,,,,
57623,Bright Stalk Wind Farm I,,,,,,,,
57622,Bright Stalk Wind Farm II,,,,,,,,
61161,Broadlands Wind Farm,,,,,,,,
57767,Brown County Wind Turbine,,,,,,,,
52034,Bunge Oil,,,,,,,,
935,Bushnell,1,0,58,1,36.094,3.238,"1,822.094",0.015
