PLANT,unitid,CO2rate,NOXrate,SO2rate,yr,Fuel,INTER,maxgload,maxramp,minramp,state,facilityname,fipscode
10294,GTG,1.1873053,0.6628753,0.0059956117,2019,Gas,West,119.0,62.0,-82.0,CA,King City Power Plant,53
10349,2,1.1761969,1.106216,0.005938816,2019,Gas,West,48.0,25.0,-27.0,CA,Yuba City Energy Center,101
10350,1,1.1375917,1.7027781,0.0057431604,2019,Gas,West,57.0,40.0,-40.0,CA,Greenleaf One,101
10405,1,1.4557178,0.34335038,0.007357008,2019,Gas,West,25.0,16.0,-21.0,CA,Kingsburg Cogen Facility,19
10649,GT1,0.8990457,6.5775404,0.0045310557,2019,Gas,West,46.0,31.0,-29.0,CA,Bear Mountain Limited,29
10650,GT1,1.1409951,7.383592,0.00576397,2019,Gas,West,45.0,29.0,-27.0,CA,Badger Creek Limited,29
10812,CT1,,,,2019,Gas,West,,,,CA,North Island,73
50131,1,,,,2019,Gas,West,42.0,6.0,-6.0,CA,Coalinga Cogeneration Facility,19
50612,GT1,0.7920103,5.0181313,0.0039805514,2019,Gas,West,44.0,29.0,-32.0,CA,McKittrick Limited,29
50864,1,,,,2019,Gas,West,39.0,2.0,-2.0,CA,Sargent Canyon Cogen Facility,53
50865,1,1.5920221,0.12316808,0.008037856,2019,Gas,West,39.0,2.0,-2.0,CA,Salinas River Cogeneration Facility,53
54238,BIOMS1,2.9977603,0.5150014,0.0006392208,2019,Other,West,50.0,8.0,-5.0,CA,DTE Stockton,77
54749,1,0.9566627,0.19315283,0.00483242,2019,Gas,West,51.0,37.0,-24.0,CA,Goal Line,73
54768,GT1,0.68742347,4.5777144,0.0034666287,2019,Gas,West,47.0,30.0,-29.0,CA,Live Oak Limited,29
55112,CT01,0.80064714,0.083559066,0.0040419116,2019,Gas,West,289.0,127.0,-141.0,CA,Calpine Sutter Energy Center,101
55112,CT02,0.8153693,0.80725706,0.0041160975,2019,Gas,West,287.0,125.0,-142.0,CA,Calpine Sutter Energy Center,101
55151,CTG-1,0.9783151,0.27127773,0.0049390546,2019,Gas,West,262.0,90.0,-88.0,CA,La Paloma Generating Plant,29
55151,CTG-2,0.92048216,0.23264937,0.0046472396,2019,Gas,West,259.0,86.0,-85.0,CA,La Paloma Generating Plant,29
55151,CTG-3,1.2363594,0.5035177,0.006241748,2019,Gas,West,259.0,89.0,-91.0,CA,La Paloma Generating Plant,29
55151,CTG-4,0.9656532,0.29204267,0.0048753344,2019,Gas,West,263.0,85.0,-85.0,CA,La Paloma Generating Plant,29
55182,CTG1,0.83367646,0.0670859,0.004208971,2019,Gas,West,298.0,99.0,-101.0,CA,Sunrise Power Company,29
55182,CTG2,0.80054504,0.03765595,0.0040414426,2019,Gas,West,298.0,111.0,-130.0,CA,Sunrise Power Company,29
55217,X724,0.792645,0.07156874,0.0040014717,2019,Gas,West,304.0,115.0,-84.0,CA,"Los Medanos Energy Center, LLC",13
55217,X725,0.8115297,0.049922477,0.004096856,2019,Gas,West,303.0,97.0,-83.0,CA,"Los Medanos Energy Center, LLC",13
55295,1,1.339289,0.098193124,0.006761218,2019,Gas,West,180.0,58.0,-48.0,CA,Blythe Energy,65
55295,2,1.3384204,0.12732592,0.006756855,2019,Gas,West,179.0,60.0,-47.0,CA,Blythe Energy,65
55333,1,0.81873,0.085170165,0.0041331323,2019,Gas,West,304.0,113.0,-70.0,CA,"Delta Energy Center, LLC",13
55333,2,0.8266001,0.08513729,0.004172834,2019,Gas,West,285.0,128.0,-82.0,CA,"Delta Energy Center, LLC",13
55333,3,0.84450203,0.08486084,0.004263484,2019,Gas,West,287.0,136.0,-97.0,CA,"Delta Energy Center, LLC",13
55345,CTG-1,0.8645562,0.12913944,0.004364406,2019,Gas,West,303.0,93.0,-90.0,CA,"Otay Mesa Energy Center, LLC",73
