typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,PLANT,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,fips,state,,CAPOW_Name_Description,Plant_list_facilityname
ngcc,PGE_bay,620,10.06,10.32,10.58,248,620,1,1,2,284.9077491,43400,56467,28,2,"439,954","1,671",0.055,0.004,870.829,0.002,6001,CA,,Russell City Energy Center,Russell City Energy Company LLC
ngct,PGE_valley,57,8.02,8.08,8.15,20,57,1,1,3.17,24.10958904,3990,50865,10,1,"117,046",422,0.065,0.004,776.557,0.001,6053,CA,,SALINAS RIVER COGENERATION,Salinas River Cogeneration Facility
ngct,PGE_valley,57.1,8.02,8.08,8.15,20,58,1,1,3.17,24.10958904,3997,50864,,,,,,,,,6053,CA,,SARGENT CANYON COGENERATION,Sargent Canyon Cogen Facility
ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4,55182,50,6,"1,111,044","4,211",0.038,0.004,831.816,0.002,6029,CA,,SUNRISE POWER PROJECT (AGGREGATE),Sunrise Power Company
ngcc,PGE_valley,332.28,6.33,6.59,6.85,133,333,1,1,2,152.7675277,23259.6,55933,33,2,"428,058","1,562",0.076,0.005,985.874,0.002,6077,CA,,Tracy Combined Cycle Power Plant,Tracy Combined Cycle Power Plant
ngct,SCE,96.43,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6750.1,57515,21,1,"223,662",860,0.11,0.006,"1,170.93",0.002,6037,CA,,Walnut Creek Energy Park Unit 1,Walnut Creek Energy Park
ngct,SCE,96.91,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6783.7,57515,21,1,"223,662",860,0.11,0.006,"1,170.93",0.002,6037,CA,,Walnut Creek Energy Park Unit 2,Walnut Creek Energy Park
ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,57515,21,1,"223,662",860,0.11,0.006,"1,170.93",0.002,6037,CA,,Walnut Creek Energy Park Unit 3,Walnut Creek Energy Park
ngct,SCE,96.49,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6754.3,57515,21,1,"223,662",860,0.11,0.006,"1,170.93",0.002,6037,CA,,Walnut Creek Energy Park Unit 4,Walnut Creek Energy Park
ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,57515,21,1,"223,662",860,0.11,0.006,"1,170.93",0.002,6037,CA,,Walnut Creek Energy Park Unit 5,Walnut Creek Energy Park
ngct,SCE,49,7.63,7.7,7.76,18,49,1,1,3.17,20.54794521,3430,58122,0,0,"3,946",15,0.114,0.007,"1,446.86",0.003,6107,CA,highlight ,Wellhead Power Delano,"Delano Energy Center, LLC"
,,,,,,,,,,,,,55875,,,,,,,,,6019,CA,highlight 2,,"Wellhead Power Gates, LLC"
ngct,PGE_valley,46.9,9.31,9.38,9.44,17,47,1,1,3.17,19.7260274,3283,55855,1,0,"6,710",25,0.196,0.006,"1,429.55",0.003,6095,CA,,WOLFSKILL ENERGY CENTER,Wolfskill Energy Center
ngct,PGE_valley,46,10.84,10.91,10.97,17,46,1,1,3.17,19.45205479,3220,10349,12,0,"16,208",359,0.102,0.001,143.2,0.002,6101,CA,,Yuba City Energy Center,Yuba City Energy Center
