,Node,Time,Value
11339,bus_30342,36,0.0
11340,bus_30342,37,0.0
11341,bus_30342,38,0.0
11342,bus_30342,39,0.0
11343,bus_30342,40,0.0
11344,bus_30342,41,0.0
11345,bus_30342,42,0.0
11346,bus_30342,43,0.0
11347,bus_30342,44,0.0
11348,bus_30342,45,0.0
11349,bus_30342,46,0.0
11350,bus_30342,47,0.0
11351,bus_30342,48,0.0
11352,bus_30372,25,0.0
11353,bus_30372,26,0.0
11354,bus_30372,27,0.0
11355,bus_30372,28,0.0
11356,bus_30372,29,0.0
11357,bus_30372,30,0.0
11358,bus_30372,31,0.0
11359,bus_30372,32,0.0
11360,bus_30372,33,0.0
11361,bus_30372,34,0.0
11362,bus_30372,35,0.0
11363,bus_30372,36,0.0
11364,bus_30372,37,0.0
11365,bus_30372,38,0.0
11366,bus_30372,39,0.0
11367,bus_30372,40,0.0
11368,bus_30372,41,0.0
11369,bus_30372,42,0.0
11370,bus_30372,43,0.0
11371,bus_30372,44,0.0
11372,bus_30372,45,0.0
11373,bus_30372,46,0.0
11374,bus_30372,47,0.0
11375,bus_30372,48,0.0
11376,bus_30390,25,0.0
11377,bus_30390,26,0.0
11378,bus_30390,27,0.0
11379,bus_30390,28,0.0
11380,bus_30390,29,0.0
11381,bus_30390,30,0.0
11382,bus_30390,31,0.0
11383,bus_30390,32,0.0
11384,bus_30390,33,0.0
11385,bus_30390,34,0.0
11386,bus_30390,35,0.0
11387,bus_30390,36,0.0
11388,bus_30390,37,0.0
11389,bus_30390,38,0.0
11390,bus_30390,39,0.0
11391,bus_30390,40,0.0
11392,bus_30390,41,0.0
11393,bus_30390,42,0.0
11394,bus_30390,43,0.0
11395,bus_30390,44,0.0
11396,bus_30390,45,0.0
11397,bus_30390,46,0.0
11398,bus_30390,47,0.0
11399,bus_30390,48,0.0
11400,bus_30451,25,0.0
11401,bus_30451,26,0.0
11402,bus_30451,27,0.0
11403,bus_30451,28,0.0
11404,bus_30451,29,0.0
11405,bus_30451,30,0.0
11406,bus_30451,31,0.0
11407,bus_30451,32,0.0
11408,bus_30451,33,0.0
11409,bus_30451,34,0.0
11410,bus_30451,35,0.0
11411,bus_30451,36,0.0
11412,bus_30451,37,0.0
11413,bus_30451,38,0.0
11414,bus_30451,39,0.0
11415,bus_30451,40,0.0
11416,bus_30451,41,0.0
11417,bus_30451,42,0.0
11418,bus_30451,43,0.0
11419,bus_30451,44,0.0
11420,bus_30451,45,0.0
11421,bus_30451,46,0.0
11422,bus_30451,47,0.0
11423,bus_30451,48,0.0
11424,bus_40001,25,0.0
11425,bus_40001,26,0.0
11426,bus_40001,27,0.0
11427,bus_40001,28,0.0
11428,bus_40001,29,0.0
11429,bus_40001,30,0.0
11430,bus_40001,31,0.0
11431,bus_40001,32,0.0
11432,bus_40001,33,0.0
11433,bus_40001,34,0.0
11434,bus_40001,35,0.0
11435,bus_40001,36,0.0
11436,bus_40001,37,0.0
11437,bus_40001,38,0.0
11438,bus_40001,39,0.0
11439,bus_40001,40,0.0
11440,bus_40001,41,0.0
11441,bus_40001,42,0.0
11442,bus_40001,43,0.0
11443,bus_40001,44,0.0
11444,bus_40001,45,0.0
11445,bus_40001,46,0.0
11446,bus_40001,47,0.0
11447,bus_40001,48,0.0
11448,bus_40003,25,0.0
11449,bus_40003,26,0.0
11450,bus_40003,27,0.0
11451,bus_40003,28,0.0
11452,bus_40003,29,0.0
11453,bus_40003,30,0.0
11454,bus_40003,31,0.0
11455,bus_40003,32,0.0
11456,bus_40003,33,0.0
11457,bus_40003,34,0.0
11458,bus_40003,35,0.0
11459,bus_40003,36,0.0
11460,bus_40003,37,0.0
11461,bus_40003,38,0.0
11462,bus_40003,39,0.0
11463,bus_40003,40,0.0
11464,bus_40003,41,0.0
11465,bus_40003,42,0.0
11466,bus_40003,43,0.0
11467,bus_40003,44,0.0
11468,bus_40003,45,0.0
11469,bus_40003,46,0.0
11470,bus_40003,47,0.0
11471,bus_40003,48,0.0
11472,bus_40004,25,0.0
11473,bus_40004,26,0.0
11474,bus_40004,27,0.0
11475,bus_40004,28,0.0
11476,bus_40004,29,0.0
11477,bus_40004,30,0.0
11478,bus_40004,31,0.0
11479,bus_40004,32,0.0
11480,bus_40004,33,0.0
11481,bus_40004,34,0.0
11482,bus_40004,35,0.0
11483,bus_40004,36,0.0
11484,bus_40004,37,0.0
11485,bus_40004,38,0.0
11486,bus_40004,39,0.0
11487,bus_40004,40,0.0
11488,bus_40004,41,0.0
11489,bus_40004,42,0.0
11490,bus_40004,43,0.0
11491,bus_40004,44,0.0
11492,bus_40004,45,0.0
11493,bus_40004,46,0.0
11494,bus_40004,47,0.0
11495,bus_40004,48,0.0
11496,bus_40006,25,0.0
11497,bus_40006,26,0.0
11498,bus_40006,27,0.0
11499,bus_40006,28,0.0
11500,bus_40006,29,0.0
11501,bus_40006,30,0.0
11502,bus_40006,31,0.0
11503,bus_40006,32,0.0
11504,bus_40006,33,0.0
11505,bus_40006,34,0.0
11506,bus_40006,35,0.0
11507,bus_40006,36,0.0
11508,bus_40006,37,0.0
11509,bus_40006,38,0.0
11510,bus_40006,39,0.0
11511,bus_40006,40,0.0
11512,bus_40006,41,0.0
11513,bus_40006,42,0.0
11514,bus_40006,43,0.0
11515,bus_40006,44,0.0
11516,bus_40006,45,0.0
11517,bus_40006,46,0.0
11518,bus_40006,47,0.0
11519,bus_40006,48,0.0
11520,bus_40007,25,0.0
11521,bus_40007,26,0.0
11522,bus_40007,27,0.0
11523,bus_40007,28,0.0
11524,bus_40007,29,0.0
11525,bus_40007,30,0.0
11526,bus_40007,31,0.0
11527,bus_40007,32,0.0
11528,bus_40007,33,0.0
11529,bus_40007,34,0.0
11530,bus_40007,35,0.0
11531,bus_40007,36,0.0
11532,bus_40007,37,0.0
11533,bus_40007,38,0.0
11534,bus_40007,39,0.0
11535,bus_40007,40,0.0
11536,bus_40007,41,0.0
11537,bus_40007,42,0.0
11538,bus_40007,43,0.0
11539,bus_40007,44,0.0
11540,bus_40007,45,0.0
11541,bus_40007,46,0.0
11542,bus_40007,47,0.0
11543,bus_40007,48,0.0
11544,bus_40008,25,0.0
11545,bus_40008,26,0.0
11546,bus_40008,27,0.0
11547,bus_40008,28,0.0
11548,bus_40008,29,0.0
11549,bus_40008,30,0.0
11550,bus_40008,31,0.0
11551,bus_40008,32,0.0
11552,bus_40008,33,0.0
11553,bus_40008,34,0.0
11554,bus_40008,35,0.0
11555,bus_40008,36,0.0
11556,bus_40008,37,0.0
11557,bus_40008,38,0.0
11558,bus_40008,39,0.0
11559,bus_40008,40,0.0
11560,bus_40008,41,0.0
11561,bus_40008,42,0.0
11562,bus_40008,43,0.0
11563,bus_40008,44,0.0
11564,bus_40008,45,0.0
11565,bus_40008,46,0.0
11566,bus_40008,47,0.0
11567,bus_40008,48,0.0
11568,bus_40050,25,0.0
11569,bus_40050,26,0.0
11570,bus_40050,27,0.0
11571,bus_40050,28,0.0
11572,bus_40050,29,0.0
11573,bus_40050,30,0.0
11574,bus_40050,31,0.0
11575,bus_40050,32,0.0
11576,bus_40050,33,0.0
11577,bus_40050,34,0.0
11578,bus_40050,35,0.0
11579,bus_40050,36,0.0
11580,bus_40050,37,0.0
11581,bus_40050,38,0.0
11582,bus_40050,39,0.0
11583,bus_40050,40,0.0
11584,bus_40050,41,0.0
11585,bus_40050,42,0.0
11586,bus_40050,43,0.0
11587,bus_40050,44,0.0
11588,bus_40050,45,0.0
11589,bus_40050,46,0.0
11590,bus_40050,47,0.0
11591,bus_40050,48,0.0
11592,bus_40073,25,0.0
11593,bus_40073,26,0.0
11594,bus_40073,27,0.0
11595,bus_40073,28,0.0
11596,bus_40073,29,0.0
11597,bus_40073,30,0.0
11598,bus_40073,31,0.0
11599,bus_40073,32,0.0
11600,bus_40073,33,0.0
11601,bus_40073,34,0.0
11602,bus_40073,35,0.0
11603,bus_40073,36,0.0
11604,bus_40073,37,0.0
11605,bus_40073,38,0.0
11606,bus_40073,39,0.0
11607,bus_40073,40,0.0
11608,bus_40073,41,0.0
11609,bus_40073,42,0.0
11610,bus_40073,43,0.0
11611,bus_40073,44,0.0
11612,bus_40073,45,0.0
11613,bus_40073,46,0.0
11614,bus_40073,47,0.0
11615,bus_40073,48,0.0
11616,bus_40076,25,0.0
11617,bus_40076,26,0.0
11618,bus_40076,27,0.0
11619,bus_40076,28,0.0
11620,bus_40076,29,0.0
11621,bus_40076,30,0.0
11622,bus_40076,31,0.0
11623,bus_40076,32,0.0
11624,bus_40076,33,0.0
11625,bus_40076,34,0.0
11626,bus_40076,35,0.0
11627,bus_40076,36,0.0
11628,bus_40076,37,0.0
11629,bus_40076,38,0.0
11630,bus_40076,39,0.0
11631,bus_40076,40,0.0
11632,bus_40076,41,0.0
11633,bus_40076,42,0.0
11634,bus_40076,43,0.0
11635,bus_40076,44,0.0
11636,bus_40076,45,0.0
11637,bus_40076,46,0.0
11638,bus_40076,47,0.0
11639,bus_40076,48,0.0
11640,bus_40144,25,0.0
11641,bus_40144,26,0.0
11642,bus_40144,27,0.0
11643,bus_40144,28,0.0
11644,bus_40144,29,0.0
11645,bus_40144,30,0.0
11646,bus_40144,31,0.0
11647,bus_40144,32,0.0
11648,bus_40144,33,0.0
11649,bus_40144,34,0.0
11650,bus_40144,35,0.0
11651,bus_40144,36,0.0
11652,bus_40144,37,0.0
11653,bus_40144,38,0.0
11654,bus_40144,39,0.0
11655,bus_40144,40,0.0
11656,bus_40144,41,0.0
11657,bus_40144,42,0.0
11658,bus_40144,43,0.0
11659,bus_40144,44,0.0
11660,bus_40144,45,0.0
11661,bus_40144,46,0.0
11662,bus_40144,47,0.0
11663,bus_40144,48,0.0
11664,bus_40145,25,0.0
11665,bus_40145,26,0.0
11666,bus_40145,27,0.0
11667,bus_40145,28,0.0
11668,bus_40145,29,0.0
11669,bus_40145,30,0.0
11670,bus_40145,31,0.0
11671,bus_40145,32,0.0
11672,bus_40145,33,0.0
11673,bus_40145,34,0.0
11674,bus_40145,35,0.0
11675,bus_40145,36,0.0
11676,bus_40145,37,0.0
11677,bus_40145,38,0.0
11678,bus_40145,39,0.0
11679,bus_40145,40,0.0
11680,bus_40145,41,0.0
11681,bus_40145,42,0.0
11682,bus_40145,43,0.0
