,Generator,Time,Value
12747,YUBACITY_5,28,636.0
12748,YUBACITY_5,29,636.0
12749,YUBACITY_5,30,636.0
12750,YUBACITY_5,31,636.0
12751,YUBACITY_5,32,636.0
12752,YUBACITY_5,33,636.0
12753,YUBACITY_5,34,636.0
12754,YUBACITY_5,35,636.0
12755,YUBACITY_5,36,636.0
12756,YUBACITY_5,37,636.0
12757,YUBACITY_5,38,636.0
12758,YUBACITY_5,39,636.0
12759,YUBACITY_5,40,636.0
12760,YUBACITY_5,41,636.0
12761,YUBACITY_5,42,636.0
12762,YUBACITY_5,43,636.0
12763,YUBACITY_5,44,636.0
12764,YUBACITY_5,45,636.0
12765,YUBACITY_5,46,636.0
12766,YUBACITY_5,47,636.0
12767,YUBACITY_5,48,636.0
12768,HERALD,25,0.0
12769,HERALD,26,0.0
12770,HERALD,27,0.0
12771,HERALD,28,0.0
12772,HERALD,29,0.0
12773,HERALD,30,0.0
12774,HERALD,31,0.0
12775,HERALD,32,0.0
12776,HERALD,33,0.0
12777,HERALD,34,0.0
12778,HERALD,35,0.0
12779,HERALD,36,0.0
12780,HERALD,37,0.0
12781,HERALD,38,0.0
12782,HERALD,39,0.0
12783,HERALD,40,0.0
12784,HERALD,41,0.0
12785,HERALD,42,0.0
12786,HERALD,43,0.0
12787,HERALD,44,0.0
12788,HERALD,45,0.0
12789,HERALD,46,0.0
12790,HERALD,47,0.0
12791,HERALD,48,0.0
12792,LODI_6,25,0.0
12793,LODI_6,26,0.0
12794,LODI_6,27,0.0
12795,LODI_6,28,0.0
12796,LODI_6,29,0.0
12797,LODI_6,30,0.0
12798,LODI_6,31,0.0
12799,LODI_6,32,0.0
12800,LODI_6,33,0.0
12801,LODI_6,34,0.0
12802,LODI_6,35,0.0
12803,LODI_6,36,0.0
12804,LODI_6,37,0.0
12805,LODI_6,38,0.0
12806,LODI_6,39,0.0
12807,LODI_6,40,0.0
12808,LODI_6,41,0.0
12809,LODI_6,42,0.0
12810,LODI_6,43,0.0
12811,LODI_6,44,0.0
12812,LODI_6,45,0.0
12813,LODI_6,46,0.0
12814,LODI_6,47,0.0
12815,LODI_6,48,0.0
12816,ANTIOCH_7,25,0.0
12817,ANTIOCH_7,26,0.0
12818,ANTIOCH_7,27,0.0
12819,ANTIOCH_7,28,0.0
12820,ANTIOCH_7,29,0.0
12821,ANTIOCH_7,30,0.0
12822,ANTIOCH_7,31,0.0
12823,ANTIOCH_7,32,0.0
12824,ANTIOCH_7,33,0.0
12825,ANTIOCH_7,34,0.0
12826,ANTIOCH_7,35,0.0
12827,ANTIOCH_7,36,0.0
12828,ANTIOCH_7,37,0.0
12829,ANTIOCH_7,38,0.0
12830,ANTIOCH_7,39,0.0
12831,ANTIOCH_7,40,0.0
12832,ANTIOCH_7,41,0.0
12833,ANTIOCH_7,42,0.0
12834,ANTIOCH_7,43,0.0
