,AVA,AZPS,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
121,1,30,0,0,,153,,0,,0,1,6,1,0,6,8,,0,0,,,0,0,,,0,,
122,0,49,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
123,0,87,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
124,0,83,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
125,0,57,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
126,0,55,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
127,0,55,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
128,0,46,0,0,,0,,0,,0,1,4,0,0,0,0,,0,0,,,0,0,,,0,,
129,0,27,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
130,0,35,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
131,0,44,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
132,0,40,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
133,0,38,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
134,0,41,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
135,0,36,0,0,,0,,1,,0,0,3,0,0,1,0,,0,3,,,0,1,,,0,,
136,0,58,0,0,,1938,,5,,19,2,64,16,0,19,4,,18,104,,,38,7,,,5,,
137,5,112,8,0,,3818,,16,,60,23,388,83,1,86,7,,46,120,,,101,14,,,10,,
138,5,147,8,0,,5705,,24,,85,87,589,137,7,185,12,,64,194,,,164,29,,,28,,
139,10,165,14,1,,5827,,40,,84,128,562,171,6,299,21,,59,159,,,339,50,,,33,,
140,9,176,6,2,,5281,,21,,63,122,595,206,6,386,30,,55,125,,,202,63,,,27,,
141,9,169,6,1,,5145,,22,,71,78,553,216,8,407,36,,53,122,,,214,78,,,25,,
142,9,189,21,0,,5289,,16,,84,63,683,266,6,454,36,,45,130,,,316,46,,,28,,
143,10,202,3,0,,4211,,11,,57,35,630,275,1,396,14,,50,113,,,174,21,,,20,,
144,0,146,4,0,,1323,,16,,39,16,343,180,0,207,9,,27,24,,,91,16,,,3,,
