FULTON_20_hydro,MC_CALL_20_hydro,MESA_CAL_20_hydro,ROUND_MT_20_hydro,SUMMIT_20_hydro,TESLA_20_hydro,CANAD_G1_20_hydro,CMAIN_GM_20_hydro,COTWDWAP_20_hydro,COULEE_20_hydro,CRAIG_20_hydro,DALLES21_20_hydro,EMERY_20_hydro,HANFORD_20_hydro,HOOVER_20_hydro,IMPERIAL_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,MIDPOINT_20_hydro,MONTA_G1_20_hydro,NAUGHT_20_hydro,NAVAJO_2_20_hydro,NORTH_G3_20_hydro,OWENS_G_20_hydro,RNCHSECO_20_hydro,SJUAN_G4_20_hydro,WCASCADE_20_hydro
6,1224.135358,268,3113.82144,54.89343,837.0376199,6187.244099,2514,394.412929,7390,374.3928571,718.4625102,21.4,4384.2,687.3088288,128.4823665,1282.234352,391.6,760.1320869,396,458.0387875,563.0651375,2783.2,22,138,1065.644755,115
9,1350.7,268,2744.22144,80.69343,1187.43762,5624.470649,2955,551.612929,8686,443.3928571,584,25.6,3815.4,687.0794247,100,915.034352,293.8,974.3320869,465,539.0387875,689.0651375,2421.4,22,154.790625,938.4,115
7.6875,1552.3,401.8,3113.82144,106.49343,1537.83762,6504.670649,3396,708.812929,9982,512.3928571,584,29.8,4384.2,931.2794247,150.4,734,196,1188.532087,534,620.0387875,815.0651375,2783.2,32.8,223.790625,1078.2,115
10.6875,1753.9,535.6,3215.5,132.29343,1888.23762,7384.870649,3837,866.012929,11278,581.3928571,876.2,34,4953,1175.479425,200.8,1101.2,293.8,1402.732087,603,701.0387875,941.0651375,3145,43.6,292.790625,1218,172
13.6875,1753.9,669.4,2845.9,158.09343,2238.63762,7655,3837,1023.212929,11278,601,1168.4,34,4953,1419.679425,251.2,1155.357522,196,1517.73258,603,706,1067.065138,3145,54.4,361.790625,1218,115
10.6875,1753.9,803.2,2758.986275,154.2,2589.03762,6871.387938,3837,1180.412929,11278,532,876.2,34,4953,1663.879425,301.6,788.1575221,293.8,1611.224431,603,706,1093,3145,65.2,414,1211.537593,115
7.6875,1753.9,669.4,2442.758956,128.4,2238.63762,6704.3777,3837,1023.212929,11218.1208,463,584,34,4953,1481.707369,251.2,734,391.6,1397.024431,603,625,1093,3145,54.4,345,1218,115
6,1753.9,535.6,2812.358956,102.6,1888.23762,5993.814593,3450.60677,866.012929,9922.120798,394,876.2,34,4432.484604,1237.507369,200.8,1101.2,489.4,1182.824431,534,544,1093,2913.318817,43.6,276,1218,172
6,1552.3,401.8,3181.958956,76.8,1537.83762,5113.614593,3009.60677,708.812929,8626.120798,325,584,29.8,3863.684604,993.3073694,150.4,734,587.2,968.6244308,465,463,967,2551.518817,32.8,207,1078.2,115
6,1350.7,268,2812.358956,51,1187.43762,4233.414593,2568.60677,551.612929,7330.120798,256,584,25.6,3294.884604,749.1073694,100,763.9513841,685,754.4244308,396,382,841,2189.718817,22,138,1218,115
6,1149.1,268,2442.758956,51,837.0376199,5113.614593,3009.60677,394.412929,6225.676996,187,584,21.4,2726.084604,743.5289949,100,1131.151384,587.2,968.6244308,465,301,715,2551.518817,22,138,1078.2,115
6,947.5,268,2073.158956,51,701,5957.866615,3004.503514,314,5047.051277,138,584,17.2,2157.284604,773.2954685,100,1498.351384,489.4,1182.824431,443.270613,220,589,2913.318817,22,138,938.4,115
6,745.9,268,1737.1,51,701,6088.591426,2563.503514,314,5589.496028,138,584,13,1588.484604,859.3530468,100,1865.551384,391.6,1397.024431,374.270613,245.0862,463,2783.2,22,138,798.6,115
9,544.3,268,2106.7,51,928.5160749,5840.763223,2122.503514,314,5989.917379,138,784.6299565,8.8,1978.56081,1103.553047,100,2232.751384,293.8,1611.224431,305.270613,326.0862,417.7431769,2421.4,22,138,658.8,115
12,745.9,310.7173369,2476.3,51,1278.916075,4960.563223,2300.472377,442.0295434,7285.917379,138,1076.829956,8,2547.36081,1347.753047,134.5342232,2599.951384,196,1760.931424,236.270613,407.0862,543.7431769,2059.6,22,207,568.8088663,115
15,947.5,444.5173369,2845.9,76.8,1629.316075,5840.763223,2741.472377,599.2295434,8581.917379,207,1369.029956,9.34375,3116.16081,1591.953047,184.9342232,2967.151384,293.8,1650.8,305.270613,488.0862,669.7431769,2421.4,22,276,708.6088663,172
18,1149.1,578.3173369,3215.5,102.6,1979.716075,6720.963223,3182.472377,756.4295434,9877.917379,276,1661.229956,13.54375,3684.96081,1836.153047,235.3342232,3194,391.6,1865,374.270613,569.0862,795.7431769,2783.2,32.8,345,848.4088663,229
21,1350.7,712.1173369,3215.5,128.4,2330.116075,7601.163223,3623.472377,913.6295434,11173.91738,345,1953.429956,17.74375,4253.76081,2080.353047,285.7342232,3194,489.4,1865,305.270613,650.0862,921.7431769,3145,43.6,414,988.2088663,286
24,1552.3,845.9173369,2845.9,154.2,2680.516075,7655,3837,1070.829543,11278,414,2245.629956,21.94375,4822.56081,2121,336.1342232,3194,391.6,1661.731128,236.270613,706,1047.743177,3145,54.4,483,1128.008866,229
21,1753.9,979.7173369,3110.256425,128.4,3030.916075,7655,3738.060223,1228.029543,11278,483,2322.272098,26.14375,4253.76081,2121,386.5342232,3194,293.8,1447.531128,167.270613,706,1093,3145,65.2,512.6763793,1008.167692,172
20.414075,1753.9,1113.517337,2740.656425,102.6,3049.4,7655,3837,1368,10907.88574,552,2277.380949,30.34375,3684.96081,2106.080144,435,3194,391.6,1233.331128,236.270613,706,1093,3145,54.4,581.6763793,868.3676919,135.3625
17.414075,1753.9,979.9845473,2371.056425,76.8,3049.4,7655,3837,1368,10607.166,601,2195.652537,34,3116.16081,1861.880144,392.5168607,3194,407.7852,1019.131128,187.8008854,706,1071.343293,3145,43.6,599,728.5676919,192.3625
14.414075,1753.9,846.1845473,2048.7314,51,3049.4,7655,3396,1368,9730.864035,532,2322.896499,34,3684.96081,1617.680144,435,3194,309.9852,968.0898981,139,706,945.3432925,3145,32.8,564.8061991,588.7676919,214
11.414075,1753.9,712.3845473,2010.044703,74.32585455,3049.4,7655,2955,1368,8631.869938,535.1,2518.443084,34,4253.76081,1373.480144,435,3194,362,1182.289898,139,706,1038.616911,3145,26.02954545,495.8061991,448.9676919,271
14.1,1753.9,764.4,2379.644703,100.1258546,3049.4,7655,3112.794761,1368,7390,466.1,2539,34,3950.652185,1280.690803,384.6,3194,459.8,1396.489898,139,706,948.6958424,3145,36.82954545,426.8061991,472.8737909,328
17.1,1552.3,898.2,2749.244703,125.9258546,2699,6774.8,3154.858099,1210.8,8686,397.1,2246.8,29.8,3815.4,1441.693649,334.2,3194,557.6,1610.689898,139,706,841,3046.400366,47.62954545,357.8061991,612.6737909,385
20.1,1753.9,1032,3118.844703,151.7258546,2906.436294,6774.8,3595.858099,1368,9982,466.1,2246.8,34,4384.2,1685.893649,384.6,3194,655.4,1598.298927,204.8732461,706,967,2783.2,58.42954545,426.8061991,752.4737909,442
