,Generator,Time,Value
424,SIEM_RIEP,17,0.0
425,SIEM_RIEP,18,6.95
426,SIEM_RIEP,19,0.0
427,SIEM_RIEP,20,6.95
428,SIEM_RIEP,21,0.0
429,SIEM_RIEP,22,6.95
430,SIEM_RIEP,23,6.95
431,SIEM_RIEP,24,6.95
432,SIHANOUKVILLE_STUNG_HAV,1,0.0
433,SIHANOUKVILLE_STUNG_HAV,2,0.0
434,SIHANOUKVILLE_STUNG_HAV,3,0.0
435,SIHANOUKVILLE_STUNG_HAV,4,0.0
436,SIHANOUKVILLE_STUNG_HAV,5,0.0
437,SIHANOUKVILLE_STUNG_HAV,6,0.0
438,SIHANOUKVILLE_STUNG_HAV,7,0.0
439,SIHANOUKVILLE_STUNG_HAV,8,0.0
440,SIHANOUKVILLE_STUNG_HAV,9,0.0
441,SIHANOUKVILLE_STUNG_HAV,10,0.0
442,SIHANOUKVILLE_STUNG_HAV,11,0.0
443,SIHANOUKVILLE_STUNG_HAV,12,0.0
444,SIHANOUKVILLE_STUNG_HAV,13,0.0
445,SIHANOUKVILLE_STUNG_HAV,14,0.0
446,SIHANOUKVILLE_STUNG_HAV,15,0.0
447,SIHANOUKVILLE_STUNG_HAV,16,0.0
448,SIHANOUKVILLE_STUNG_HAV,17,0.0
449,SIHANOUKVILLE_STUNG_HAV,18,0.0
450,SIHANOUKVILLE_STUNG_HAV,19,0.0
451,SIHANOUKVILLE_STUNG_HAV,20,0.0
452,SIHANOUKVILLE_STUNG_HAV,21,0.0
453,SIHANOUKVILLE_STUNG_HAV,22,0.0
454,SIHANOUKVILLE_STUNG_HAV,23,0.0
455,SIHANOUKVILLE_STUNG_HAV,24,0.0
456,impnode_thai,1,0.0
457,impnode_thai,2,0.0
458,impnode_thai,3,0.0
459,impnode_thai,4,0.0
460,impnode_thai,5,0.0
461,impnode_thai,6,0.0
462,impnode_thai,7,0.0
463,impnode_thai,8,0.0
464,impnode_thai,9,0.0
465,impnode_thai,10,0.0
466,impnode_thai,11,0.0
467,impnode_thai,12,0.0
468,impnode_thai,13,0.0
469,impnode_thai,14,0.0
470,impnode_thai,15,0.0
471,impnode_thai,16,0.0
472,impnode_thai,17,0.0
473,impnode_thai,18,0.0
474,impnode_thai,19,0.0
475,impnode_thai,20,0.0
476,impnode_thai,21,0.0
477,impnode_thai,22,0.0
478,impnode_thai,23,0.0
479,impnode_thai,24,0.0
480,impnode_viet,1,0.0
481,impnode_viet,2,0.0
482,impnode_viet,3,0.0
483,impnode_viet,4,0.0
484,impnode_viet,5,0.0
485,impnode_viet,6,0.0
486,impnode_viet,7,0.0
487,impnode_viet,8,0.0
488,impnode_viet,9,0.0
489,impnode_viet,10,0.0
490,impnode_viet,11,0.0
491,impnode_viet,12,0.0
492,impnode_viet,13,0.0
493,impnode_viet,14,0.0
494,impnode_viet,15,0.0
495,impnode_viet,16,0.0
496,impnode_viet,17,0.0
497,impnode_viet,18,0.0
498,impnode_viet,19,0.0
499,impnode_viet,20,0.0
500,impnode_viet,21,0.0
501,impnode_viet,22,0.0
502,impnode_viet,23,0.0
503,impnode_viet,24,0.0
504,PHUM_TROR_CPGC,25,0.0
505,PHUM_TROR_CPGC,26,0.0
506,PHUM_TROR_CPGC,27,0.0
507,PHUM_TROR_CPGC,28,0.0
508,PHUM_TROR_CPGC,29,0.0
509,PHUM_TROR_CPGC,30,0.0
510,PHUM_TROR_CPGC,31,5.0
511,PHUM_TROR_CPGC,32,0.0
512,PHUM_TROR_CPGC,33,0.0
513,PHUM_TROR_CPGC,34,0.0
514,PHUM_TROR_CPGC,35,0.0
515,PHUM_TROR_CPGC,36,0.0
516,PHUM_TROR_CPGC,37,0.0
517,PHUM_TROR_CPGC,38,0.0
518,PHUM_TROR_CPGC,39,0.0
519,PHUM_TROR_CPGC,40,0.0
520,PHUM_TROR_CPGC,41,0.0
521,PHUM_TROR_CPGC,42,0.0
522,PHUM_TROR_CPGC,43,0.0
523,PHUM_TROR_CPGC,44,0.0
524,PHUM_TROR_CPGC,45,5.0
525,PHUM_TROR_CPGC,46,0.0
526,PHUM_TROR_CPGC,47,0.0
527,PHUM_TROR_CPGC,48,0.0
528,PPSEZ_PLANT,25,0.0
529,PPSEZ_PLANT,26,0.0
530,PPSEZ_PLANT,27,0.0
531,PPSEZ_PLANT,28,0.0
532,PPSEZ_PLANT,29,0.0
533,PPSEZ_PLANT,30,0.0
534,PPSEZ_PLANT,31,0.0
535,PPSEZ_PLANT,32,0.0
536,PPSEZ_PLANT,33,10.0
537,PPSEZ_PLANT,34,10.0
538,PPSEZ_PLANT,35,10.0
539,PPSEZ_PLANT,36,10.0
540,PPSEZ_PLANT,37,10.0
541,PPSEZ_PLANT,38,10.0
542,PPSEZ_PLANT,39,10.0
543,PPSEZ_PLANT,40,10.0
544,PPSEZ_PLANT,41,10.0
545,PPSEZ_PLANT,42,10.0
546,PPSEZ_PLANT,43,10.0
547,PPSEZ_PLANT,44,10.0
548,PPSEZ_PLANT,45,10.0
549,PPSEZ_PLANT,46,10.0
550,PPSEZ_PLANT,47,0.0
551,PPSEZ_PLANT,48,0.0
552,CENTRALE-2,25,18.0
553,CENTRALE-2,26,18.0
554,CENTRALE-2,27,18.0
555,CENTRALE-2,28,18.0
556,CENTRALE-2,29,0.0
557,CENTRALE-2,30,18.0
558,CENTRALE-2,31,0.0
559,CENTRALE-2,32,18.0
560,CENTRALE-2,33,0.0
561,CENTRALE-2,34,0.0
562,CENTRALE-2,35,18.0
563,CENTRALE-2,36,18.0
564,CENTRALE-2,37,0.0
565,CENTRALE-2,38,0.0
566,CENTRALE-2,39,0.0
