IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1263.4,0
77.6,286.3,2880.8,302.9
142.4,1022.3,3161.4,409.6
144.9,1038.3,2884.3,211.9
121.9,857.5,2788.1,196.6
125.9,889.7,3114,263.2
143.9,1065.7,3200,405.3
149.5,831.3,2682.1,218
22.7,0,43.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1156.9,0
77.5,493.8,2944.5,302.9
133.3,1023.4,3182.2,409.6
160.5,1059.6,2967,215.8
128.7,884.2,2856.7,201.1
124.6,914.3,3130.7,185
126.1,1033.1,3130.9,143.7
161.8,848.7,3066,69.9
46.6,7.9,317,0
1.5,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1669.4,0
94.7,803.3,3118.2,299.9
178.2,1100,3159.3,304.3
183,1100,2959.7,390
168.3,1002.5,3007.5,221.9
168.7,1036.7,2958.6,405.9
178.2,1055.4,3200,405.1
183,1054.9,2982.1,384.2
59.1,84.8,499,11.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1472.8,0
140.6,79.6,2551.3,406.2
173,811.9,3124.9,389.2
172.1,1006.4,3046.9,288.8
151,1048.8,3105.9,250.5
135.5,1029.7,3126.2,369.3
136.7,1003.9,3200,335
152.1,890.8,3051.4,261.5
25.5,65.7,910.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.8,0,1983.1,92.5
176.5,1100,2949.9,391.3
183,1100,3153.9,337.6
183,1100,3010,258.5
167.6,935.5,2901.9,223.3
170.2,961.8,2907.1,260.4
