MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro,SUMMIT_20_hydro,CANAD_G1_20_hydro,COULEE_20_hydro,DALLES21_20_hydro,HANFORD_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,NORTH_G3_20_hydro,WCASCADE_20_hydro
401.8,32.8,1552.3,1537.83762,3113.82144,708.812929,223.790625,106.49343,6504.670649,9982,584,4384.2,734,196,2783.2,115
535.6,43.6,1753.9,1888.23762,3215.5,866.012929,292.790625,132.29343,7384.870649,11278,876.2,4953,1101.2,293.8,3145,172
669.4,54.4,1753.9,2238.63762,2845.9,1023.212929,361.790625,158.09343,7655,11278,1168.4,4953,1155.357522,196,3145,115
803.2,65.2,1753.9,2589.03762,2758.986275,1180.412929,414,154.2,6871.387938,11278,876.2,4953,788.1575221,293.8,3145,115
669.4,54.4,1753.9,2238.63762,2442.758956,1023.212929,345,128.4,6704.3777,11218.1208,584,4953,734,391.6,3145,115
535.6,43.6,1753.9,1888.23762,2812.358956,866.012929,276,102.6,5993.814593,9922.120798,876.2,4432.484604,1101.2,489.4,2913.318817,172
401.8,32.8,1552.3,1537.83762,3181.958956,708.812929,207,76.8,5113.614593,8626.120798,584,3863.684604,734,587.2,2551.518817,115
268,22,1350.7,1187.43762,2812.358956,551.612929,138,51,4233.414593,7330.120798,584,3294.884604,763.9513841,685,2189.718817,115
268,22,1149.1,837.0376199,2442.758956,394.412929,138,51,5113.614593,6225.676996,584,2726.084604,1131.151384,587.2,2551.518817,115
268,22,947.5,701,2073.158956,314,138,51,5957.866615,5047.051277,584,2157.284604,1498.351384,489.4,2913.318817,115
268,22,745.9,701,1737.1,314,138,51,6088.591426,5589.496028,584,1588.484604,1865.551384,391.6,2783.2,115
268,22,544.3,928.5160749,2106.7,314,138,51,5840.763223,5989.917379,784.6299565,1978.56081,2232.751384,293.8,2421.4,115
310.7173369,22,745.9,1278.916075,2476.3,442.0295434,207,51,4960.563223,7285.917379,1076.829956,2547.36081,2599.951384,196,2059.6,115
444.5173369,22,947.5,1629.316075,2845.9,599.2295434,276,76.8,5840.763223,8581.917379,1369.029956,3116.16081,2967.151384,293.8,2421.4,172
578.3173369,32.8,1149.1,1979.716075,3215.5,756.4295434,345,102.6,6720.963223,9877.917379,1661.229956,3684.96081,3194,391.6,2783.2,229
712.1173369,43.6,1350.7,2330.116075,3215.5,913.6295434,414,128.4,7601.163223,11173.91738,1953.429956,4253.76081,3194,489.4,3145,286
845.9173369,54.4,1552.3,2680.516075,2845.9,1070.829543,483,154.2,7655,11278,2245.629956,4822.56081,3194,391.6,3145,229
979.7173369,65.2,1753.9,3030.916075,3110.256425,1228.029543,512.6763793,128.4,7655,11278,2322.272098,4253.76081,3194,293.8,3145,172
1113.517337,54.4,1753.9,3049.4,2740.656425,1368,581.6763793,102.6,7655,10907.88574,2277.380949,3684.96081,3194,391.6,3145,135.3625
979.9845473,43.6,1753.9,3049.4,2371.056425,1368,599,76.8,7655,10607.166,2195.652537,3116.16081,3194,407.7852,3145,192.3625
846.1845473,32.8,1753.9,3049.4,2048.7314,1368,564.8061991,51,7655,9730.864035,2322.896499,3684.96081,3194,309.9852,3145,214
712.3845473,26.02954545,1753.9,3049.4,2010.044703,1368,495.8061991,74.32585455,7655,8631.869938,2518.443084,4253.76081,3194,362,3145,271
764.4,36.82954545,1753.9,3049.4,2379.644703,1368,426.8061991,100.1258546,7655,7390,2539,3950.652185,3194,459.8,3145,328
898.2,47.62954545,1552.3,2699,2749.244703,1210.8,357.8061991,125.9258546,6774.8,8686,2246.8,3815.4,3194,557.6,3046.400366,385
1032,58.42954545,1753.9,2906.436294,3118.844703,1368,426.8061991,151.7258546,6774.8,9982,2246.8,4384.2,3194,655.4,2783.2,442
1165.8,69.22954545,1753.9,3049.4,3215.5,1308.995232,495.8061991,177.5258546,7655,11278,2539,4953,3194,753.2,3145,499
1165.8,80.02954545,1753.9,3049.4,3215.5,1151.795232,428.7475469,203.3258546,7655,11278,2539,4953,3194,851,3145,499
1165.8,90.82954545,1652.636029,2971.55528,2996.930436,1069.078423,414,177.5258546,7655,11274.98352,2479.636081,4661.009011,3194,753.2,3145,442
1165.8,80.02954545,1753.9,3049.4,2627.330436,1226.278423,345,151.7258546,7655,9978.983518,2465.546147,4539.402172,3194,655.4,3145,385
1032,69.22954545,1572.654657,2909.586094,2257.730436,1368,276,125.9258546,7301.140584,8682.983518,2197.918155,3970.602172,3194,557.6,3145,328
898.2,58.42954545,1371.054657,2559.186094,1888.130436,1210.8,207,100.1258546,6420.940584,7386.983518,1905.718155,3401.802172,3194,459.8,2783.2,271
764.4,47.62954545,1169.454657,2208.786094,2032.926471,1053.6,138,74.32585455,5540.740584,6090.983518,1613.518155,2833.002172,3194,362,2421.4,214
