MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,FULTON_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro
630.6,31.2,416,9,701,1533.303627,314,138
496.8,22,403.2,6,701,1513.772261,314,138
363,22,403.2,6,701,1144.172261,314,138
359.9232913,22,403.2,9,701,774.5722606,471.2,138
493.7232913,32.8,403.2,6,1051.4,1144.172261,628.4,207
627.5232913,43.6,604.8,9,1401.8,1513.772261,785.6,276
761.3232913,54.4,806.4,12,1752.2,1196.453371,942.8,345
895.1232913,65.2,604.8,15,2102.6,826.8533709,1100,414
1028.923291,76,403.2,12,2453,1050.213065,1257.2,483
1162.723291,86.8,403.2,9,2102.6,1419.813065,1257.77671,552
1165.8,96,403.2,6,2239.523661,1514.412054,1274.52102,599
1165.8,96,403.2,8.1,2589.923661,1462.519703,1157.334875,599
1165.8,96,403.2,11.1,2239.523661,1373.951085,1182.183698,599
1165.8,96,403.2,14.1,1998.2,1743.551085,1024.983698,599
1165.8,96,403.2,17.1,2348.6,1718.192696,1053.6,552.4637122
1165.8,96,604.8,20.1,2699,2087.792696,1210.8,530
1165.8,96,806.4,23.1,3049.4,2220.203908,1368,599
1165.8,96,1008,26.1,2699,1850.603908,1368,599
1165.8,96,806.4,23.1,2348.6,1481.003908,1368,599
1165.8,85.2,638.7,20.775,1998.2,1208.834502,1368,587.8840719
1165.8,74.4,437.1,17.775,1647.8,1578.434502,1210.8,518.8840719
1159.16848,63.6,403.2,14.775,1297.4,1667.893602,1053.6,449.8840719
1025.36848,52.8,403.2,17.775,947,1519.537008,896.4,380.8840719
891.5684804,42,403.2,17.2,789.4272064,1345.200801,739.2,311.8840719
757.7684804,31.2,403.2,14.2,701,1262.265942,582,242.8840719
623.9684804,22,403.2,11.2,701,1256.496678,424.8,173.8840719
490.1684804,22,403.2,8.2,701,1316.622342,314,138
361.1843646,22,403.2,6,701,1462.43941,314,138
494.9843646,22,403.2,9,701,1092.83941,314,138
628.7843646,32.8,403.2,6,701,739.2,471.2,207
762.5843646,43.6,403.2,6,701,739.2,628.4,276
896.3843646,54.4,403.2,6.41666667,701,995.6802251,785.6,345
1030.184365,65.2,403.2,9.41666667,701,1365.280225,942.8,414
1163.984365,76,403.2,12.41666667,701,1734.880225,1100,483
1165.8,86.8,403.2,15.41666667,701,1787.40345,1257.2,552
1165.8,96,403.2,18.41666667,701,1684.789892,1257.2,599
1165.8,96,403.2,21.41666667,701,1724.879073,1100,595.4861622
1165.8,85.3192411,403.2,24.41666667,723.1901686,1778.059004,942.8,526.4861622
1161.881798,74.5192411,403.2,21.41666667,701,1497.546016,896.4,457.4861622
1165.8,85.3192411,403.2,18.41666667,701,1743.236595,1053.6,526.4861622
1165.8,96,403.2,21.41666667,1051.4,1373.636595,1210.8,595.4861622
1165.8,87.47371279,403.2,24.41666667,1401.8,1004.036595,1368,526.4861622
1165.8,76.67371279,403.2,21.41666667,1051.4,739.4426284,1210.8,457.4861622
1165.8,65.87371279,403.2,23.1,1294.291312,1109.042628,1053.6,388.4861622
1079.384576,55.07371279,403.2,20.1,943.8913125,1478.642628,896.4,319.4861622
945.5845761,44.27371279,403.2,23.1,701,1848.242628,739.2,250.4861622
811.7845761,33.47371279,403.2,26.1,701,1478.642628,582,181.4861622
677.9845761,32.8,403.2,23.1,701,1109.042628,739.2,138
544.1845761,22,488.7,20.1,971.8128202,910.8111832,583.3294075,138
410.3845761,22,690.3,17.1,1279.823985,816.2606436,426.1294075,138
276.5845761,22,680.1,14.1,1338.122275,972.1912279,369.3701274,138
268,31.2,688.7,14.2,999.6480144,1087.598775,526.5701274,207
401.8,42,487.1,12.9,817.5540685,817.3022099,683.7701274,276
535.6,52.8,403.2,9.9,701,739.2,840.9701274,345
669.4,63.6,403.2,6.9,701,739.2,998.1701274,414
803.2,74.4,403.2,6,701,739.2,1039.998672,483
937,85.2,403.2,6,766.0514454,739.2,1160.531101,552
1070.8,96,403.2,6,959.1688509,739.2,1317.731101,599
1165.8,96,403.2,6,947.0255997,739.2,1367.261133,599
1165.8,96,403.2,6.54166667,781.7588128,739.2,1210.061133,599
1165.8,96,403.2,9.54166667,701,1034.563878,1122.338918,599
1032,85.2,403.2,12.54166667,701,1404.163878,1117.368491,530
898.2,74.4,403.2,15.54166667,1051.4,1034.563878,1053.6,461
1032,85.2,604.8,12.54166667,989.6482324,1404.163878,1210.8,530
1165.8,96,806.4,15.54166667,1340.048232,1079.177716,1368,599
1165.8,96,1008,12.54166667,1690.448232,739.2,1368,599
1165.8,96,1161.5,9.54166667,1767.069327,739.2,1368,599
1165.8,96,959.9,12.54166667,1416.669327,739.2,1368,599
1160.153899,94.53333333,758.3,15.54166667,1066.269327,891.6587373,1210.8,584.3333333
1026.353899,83.73333333,556.7,18.54166667,715.8693265,1261.258737,1053.6,515.3333333
892.5538986,72.93333333,403.2,21.54166667,764.8121247,891.6587373,896.4,446.3333333
758.7538986,62.13333333,403.2,18.54166667,701,739.2,739.2,377.3333333
624.9538986,51.33333333,403.2,15.54166667,701,759.7349076,582,308.3333333
491.1538986,40.53333333,403.2,12.54166667,701,953.5714724,424.8,239.3333333
357.3538986,29.73333333,403.2,9.54166667,701,1001.084812,314,170.3333333
294.1683183,22,403.2,12.54166667,701,1370.684812,314,138
427.9683183,22,403.2,15.54166667,1051.4,1740.284812,471.2,207
561.7683183,32.8,604.8,18.54166667,1401.8,2109.884812,628.4,276
695.5683183,43.6,806.4,21.54166667,1752.2,1740.284812,785.6,345
829.3683183,54.4,1008,24.21333333,2102.6,1370.684812,942.8,414
963.1683183,59.71111111,981.1,21.21333333,2453,1001.084812,875.7187847,374.6111111
1096.968318,48.91111111,779.5,18.21333333,2597.106889,739.2,718.5187847,305.6111111
1165.8,38.11111111,577.9,15.21333333,2947.506889,739.2,561.3187847,236.6111111
1165.8,48.91111111,779.5,12.21333333,2597.106889,997.9,718.5187847,167.6111111
1165.8,59.71111111,577.9,11.1,2246.706889,1367.5,567.9624306,236.6111111
1165.8,48.91111111,779.5,14.1,1896.306889,1737.1,725.1624306,305.6111111
1165.8,43.6,806.4,17.1,1545.906889,2106.7,628.4,276
1165.8,54.4,1008,20.1,1896.306889,2476.3,785.6,345
1165.8,65.2,1209.6,23.1,2246.706889,2845.9,942.8,414
1165.8,76,1411.2,26.1,2554.057481,3215.5,1100,483
1165.8,65.2,1209.6,26.1,2203.657481,3085.410299,942.8,414
1165.8,54.4,1008,26.1,1853.257481,2715.810299,785.6,345
1112.268726,43.6,806.4,23.1,1502.857481,2346.210299,628.4,276
978.4687258,32.8,604.8,20.1,1152.457481,1976.610299,471.2,207
844.6687258,22,403.2,23.1,802.0574812,1797.539915,314,138
710.8687258,22,403.2,20.1,701,1541.556762,314,138
577.0687258,22,403.2,17.1,701,1404.455122,314,138
443.2687258,22,403.2,14.1,701,1392.726504,314,138
309.4687258,22,403.2,12.2,701,1023.126504,314,138
304.1321567,22,403.2,15.2,701,979.1570233,314,138
437.9321567,22,403.2,13.08888889,1050.463928,1348.757023,314,138
571.7321567,32.8,604.8,16.08888889,1400.863928,1718.357023,471.2,207
705.5321567,43.6,806.4,19.08888889,1751.263928,2087.957023,628.4,276
839.3321567,54.4,614.85,22.08888889,2101.663928,1718.357023,785.6,345
973.1321567,65.2,413.25,25.08888889,2452.063928,1348.757023,942.8,414
1106.932157,76,403.2,22.08888889,2743.104962,979.1570233,1100,483
1165.8,86.8,403.2,19.08888889,2392.704962,739.2,1038.002186,552
1165.8,84.4,403.2,16.08888889,2298.356813,1108.8,924.1821328,519
1165.8,73.6,403.2,13.08888889,1947.956813,1478.4,1058.196258,450
1165.8,62.8,403.2,14.1,1597.556813,1848,900.9962575,381
1165.8,52,403.2,17.1,1401.8,2217.6,858.3410555,312
1165.8,62.8,604.8,20.1,1752.2,2587.2,1015.541056,381
1165.8,73.6,806.4,23.1,2102.6,2956.8,1172.741056,450
1165.8,76,1008,26.1,2453,3184.779206,1100,483
1165.8,65.2,1209.6,26.1,2102.6,2815.179206,942.8,414
1032,54.4,1008,23.1,1752.2,2445.579206,785.6,345
898.2,43.6,806.4,20.1,1401.8,2075.979206,628.4,276
764.4,32.8,604.8,17.1,1051.4,1706.379206,471.2,207
630.6,22,403.2,14.1,701,1579.687442,314,138
496.8,22,403.2,14.3,701,1590.722805,314,138
363,22,403.2,11.3,701,1528.388889,314,138
268,22,403.2,8.3,701,1427.916792,314,138
268,22,403.2,7.7,701,1247.384575,314,138
395.3333333,22,403.2,10.7,701,1223.157205,314,138
529.1333333,22,403.2,12.45555556,701,1592.757205,314,138
662.9333333,32.8,604.8,15.45555556,1051.4,1962.357205,471.2,207
796.7333333,43.6,806.4,18.45555556,1401.8,1848,628.4,276
930.5333333,54.4,1008,21.45555556,1752.2,1478.4,785.6,345
1064.333333,65.2,1043.002746,24.45555556,2102.6,1108.8,942.8,414
1165.8,68.8,841.4027459,21.45555556,2453,739.2,981.9912907,483
1165.8,58,639.8027459,18.45555556,2803.4,739.2,824.7912907,414
1165.8,68.8,438.2027459,15.45555556,2460.2,739.2,667.5912907,371
1165.8,79.6,403.2,12.45555556,2803.4,902.5527883,824.7912907,440
1165.8,68.8,456.9209526,14.1,2453,1272.152788,675.9132401,371
1165.8,65.2,658.5209526,17.1,2102.6,1641.752788,833.1132401,414
1165.8,76,860.1209526,20.1,2453,2011.352788,990.3132401,483
1165.8,86.8,1061.720953,23.1,2803.4,2380.952788,1147.51324,552
1165.8,76,1263.320953,26.1,2453,2750.552788,1286.996979,483
1165.8,65.2,1103.284253,26.1,2102.6,3120.152788,1129.796979,414
1165.8,54.4,1008,26.1,1752.2,2750.552788,972.5969795,345
1165.8,43.6,806.4,23.1,1401.8,2380.952788,815.3969795,276
1032,32.8,604.8,20.1,1051.4,2011.352788,658.1969795,207
898.2,22,403.2,17.1,701,1641.752788,500.9969795,138
764.4,22,403.2,14.1,701,1272.152788,343.7969795,138
630.6,22,473,11.1,701,1203.462576,314,138
496.8,22,449.2,8.1,701,1204.228033,314,138
363,22,444.5,8.2,701,1192.685865,314,138
268,22,558.45,11.2,701,1562.285865,320.4093916,138
268,32.8,760.05,14.2,1051.4,1931.885865,477.6093916,207
401.8,43.6,961.65,17.2,1401.8,2301.485865,634.8093916,276
535.6,54.4,1163.25,20.2,1752.2,2671.085865,792.0093916,345
401.8,65.2,1364.85,23.2,2102.6,2502.411013,949.2093916,414
268,54.4,1566.45,26.1,2453,2132.811013,1106.409392,483
268,43.6,1753.9,23.1,2528.080496,1763.211013,1263.609392,414
268,32.8,1753.9,20.1,2177.680496,1393.611013,1368,345
268,24.53333333,1753.9,17.1,2414.439007,1267.659845,1368,276
268,35.33333333,1753.9,14.1,2102.6,1405.564654,1368,207
287,46.13333333,1753.9,11.1,1752.2,1493.674455,1362.86864,138
420.8,56.93333333,1753.9,8.23333333,1401.8,1863.274455,1205.66864,138
554.6,67.73333333,1552.3,11.23333333,1752.2,2232.874455,1210.8,207
688.4,78.53333333,1753.9,14.23333333,2102.6,2602.474455,1368,276
822.2,89.33333333,1753.9,17.23333333,2453,2413.150646,1368,345
803.2,78.53333333,1753.9,20.23333333,2102.6,2782.750646,1368,351
669.4,67.73333333,1753.9,23.23333333,1752.2,2413.150646,1368,345
535.6,56.93333333,1552.3,20.23333333,1401.8,2043.550646,1210.8,276
401.8,46.13333333,1350.7,17.23333333,1051.4,1688.905536,1053.6,207
268,35.33333333,1149.1,14.23333333,701,1438.84554,896.4,138
268,24.53333333,947.5,11.23333333,701,1287.74728,739.2,138
268,22,745.9,8.23333333,701,1197.091646,582,138
268,22,756.1,6,701,1226.819866,424.8,138
268,22,753.4,6,701,1443.827307,314,138
268,22,621.5,9,701,1179.002156,407.788192,138
268,22,823.1,12,1051.4,1548.602156,564.988192,207
401.8,32.8,1024.7,15,1401.8,1918.202156,722.188192,276
535.6,43.6,1226.3,18,1752.2,2287.802156,879.388192,345
543.7594583,54.4,1427.9,21,2102.6,1918.202156,1036.588192,414
409.9594583,65.2,1629.5,18,2453,1548.602156,1193.788192,483
276.1594583,76,1753.9,15,2803.4,1638.525012,1350.988192,552
268,65.2,1753.9,12,2453,1659.725774,1368,483
268,73.93333333,1753.9,9,2102.6,1465.562402,1368,414
268,84.73333333,1753.9,6,1752.2,1377.72535,1368,345
268,74.4,1753.9,8.34333333,1480.976823,1434.070239,1368,276
313.8766257,63.6,1753.9,11.34333333,1705.269242,1558.951339,1368,284.6666667
447.6766257,74.4,1552.3,14.34333333,2055.669242,1750.384979,1293.882656,353.6666667
581.4766257,85.2,1753.9,17.34333333,2406.069242,1591.583088,1368,422.6666667
715.2766257,96,1753.9,20.34333333,2756.469242,1589.157559,1368,491.6666667
688.6537806,85.2,1552.92,23.34333333,2406.069242,1241.861825,1368,422.6666667
