,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
94,22.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,79.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
95,23.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,79.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
96,18.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,79.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
97,17.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,17.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
98,21.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
99,22.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
100,25.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
101,33.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
102,43.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,,0.0,,
103,50.0,0.0,0.0,0.0,,0.0,,13.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,10.0,9.0,,,2.0,16.0,,,0.0,,
104,80.0,0.0,0.0,0.0,,644.0,,66.0,,6.0,5.0,20.0,10.0,0.0,51.0,4.0,,104.0,114.0,,,85.0,94.0,,,17.0,,
105,119.0,2.0,3.0,0.0,,1241.0,,87.0,,8.0,36.0,85.0,43.0,2.0,135.0,13.0,,159.0,192.0,,,191.0,112.0,,,27.0,,
106,156.0,0.0,2.0,0.0,,2058.0,,84.0,,11.0,69.0,146.0,71.0,7.0,188.0,33.0,,169.0,212.0,,,262.0,98.0,,,31.0,,
107,148.0,5.0,6.0,1.0,,2279.0,,79.0,,18.0,64.0,201.0,125.0,7.0,257.0,64.0,,156.0,214.0,,,337.0,123.0,,,28.0,,
108,142.0,0.0,6.0,2.0,,2560.0,,79.0,,14.0,63.0,178.0,117.0,6.0,315.0,71.0,,146.0,198.0,,,233.0,109.0,,,29.0,,
109,123.0,7.0,10.0,1.0,,1549.0,,77.0,,16.0,43.0,160.0,118.0,7.0,252.0,63.0,,141.0,160.0,,,205.0,101.0,,,23.0,,
110,100.0,0.0,17.0,0.0,,1012.0,,47.0,,19.0,25.0,134.0,112.0,5.0,180.0,49.0,,104.0,111.0,,,113.0,67.0,,,14.0,,
111,53.0,6.0,8.0,0.0,,548.0,,38.0,,11.0,12.0,69.0,68.0,1.0,134.0,30.0,,81.0,49.0,,,47.0,15.0,,,7.0,,
112,46.0,0.0,3.0,1.0,,153.0,,17.0,,4.0,4.0,29.0,31.0,0.0,63.0,26.0,,14.0,13.0,,,17.0,4.0,,,2.0,,
113,30.0,1.0,0.0,0.0,,153.0,,0.0,,0.0,1.0,6.0,1.0,0.0,6.0,8.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
114,49.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
115,87.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
116,83.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
117,57.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
118,55.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
119,55.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
120,46.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
121,27.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
122,35.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
123,44.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
124,40.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
125,38.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
126,41.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
127,36.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,3.0,,,0.0,1.0,,,0.0,,
128,58.0,0.0,0.0,0.0,,1938.0,,5.0,,19.0,2.0,64.0,16.0,0.0,19.0,4.0,,18.0,104.0,,,38.0,7.0,,,5.0,,
129,112.0,5.0,8.0,0.0,,3818.0,,16.0,,60.0,23.0,388.0,83.0,1.0,85.0,7.0,,46.0,120.0,,,101.0,14.0,,,10.0,,
130,147.0,5.0,8.0,0.0,,5705.0,,24.0,,85.0,87.0,589.0,137.0,7.0,187.0,12.0,,64.0,194.0,,,164.0,29.0,,,28.0,,
131,165.0,10.0,14.0,1.0,,5827.0,,40.0,,84.0,128.0,562.0,171.0,6.0,299.0,21.0,,59.0,159.0,,,339.0,50.0,,,33.0,,
132,176.0,9.0,6.0,2.0,,5281.0,,21.0,,63.0,122.0,595.0,206.0,6.0,386.0,30.0,,55.0,125.0,,,202.0,63.0,,,27.0,,
133,169.0,9.0,6.0,1.0,,5145.0,,22.0,,71.0,78.0,553.0,216.0,8.0,407.0,36.0,,53.0,122.0,,,214.0,78.0,,,25.0,,
134,189.0,9.0,21.0,0.0,,5289.0,,16.0,,84.0,63.0,683.0,266.0,6.0,453.0,36.0,,45.0,130.0,,,316.0,46.0,,,28.0,,
135,202.0,10.0,3.0,0.0,,4211.0,,11.0,,57.0,35.0,630.0,275.0,1.0,398.0,14.0,,50.0,113.0,,,174.0,21.0,,,20.0,,
136,146.0,0.0,4.0,0.0,,1323.0,,16.0,,39.0,16.0,343.0,180.0,0.0,206.0,9.0,,27.0,24.0,,,91.0,16.0,,,3.0,,
137,58.0,1.0,1.0,0.0,,0.0,,0.0,,5.0,1.0,45.0,12.0,0.0,2.0,4.0,,0.0,0.0,,,5.0,0.0,,,0.0,,
138,47.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
139,43.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
140,48.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
141,55.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
142,57.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
143,70.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
144,78.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
145,69.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
146,64.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
147,68.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
148,69.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
149,74.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
150,58.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
151,63.0,0.0,1.0,0.0,,64.0,,11.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,9.0,12.0,,,6.0,16.0,,,0.0,,
152,125.0,0.0,1.0,0.0,,1646.0,,67.0,,18.0,3.0,33.0,8.0,0.0,50.0,3.0,,98.0,135.0,,,157.0,94.0,,,7.0,,
153,231.0,6.0,8.0,1.0,,3929.0,,89.0,,62.0,74.0,176.0,36.0,1.0,246.0,26.0,,156.0,263.0,,,363.0,123.0,,,33.0,,
154,305.0,14.0,30.0,2.0,,5139.0,,89.0,,71.0,134.0,311.0,82.0,4.0,419.0,72.0,,168.0,265.0,,,542.0,148.0,,,34.0,,
